account_id,value_group,account_value,event_month,offer_live,months_since_launch,tenure_months,product_count,churned_within_window,true_effect_prob
D000085,high,8811.79,0,0,,63.9,2,0,0.0
D000086,low,1448.87,4,0,,44.6,1,0,0.0
D000087,high,6707.24,22,1,10.0,24.3,5,0,-0.079075
D000088,high,7091.05,0,0,,134.0,1,0,0.0
D000089,low,2155.35,19,0,,79.8,3,1,0.0
D000090,low,3473.39,5,0,,72.9,4,0,0.0
D000091,low,681.69,23,0,,29.8,1,0,0.0
D000092,low,1515.68,14,0,,64.9,1,0,0.0
D000093,low,4824.3,2,0,,33.1,2,0,0.0
D000094,low,1764.53,19,0,,21.7,2,0,0.0
D000095,low,2323.34,18,0,,14.0,2,0,0.0
D000096,low,4731.62,11,0,,17.4,3,0,0.0
D000097,low,3754.81,23,0,,5.4,3,0,0.0
D000098,high,7616.74,16,1,4.0,136.6,1,0,-0.043131
D000099,high,11804.39,4,0,,106.7,2,0,0.0
D000100,high,7856.38,18,1,6.0,113.7,1,0,-0.036486
D000101,low,744.5,12,0,,108.6,3,0,0.0
D000102,low,865.61,2,0,,68.7,1,0,0.0
D000103,high,10134.29,14,1,2.0,42.7,1,0,-0.047339
D000104,low,3305.92,17,0,,8.0,4,0,0.0
D000105,low,1752.86,8,0,,36.6,1,0,0.0
D000106,high,25306.18,13,1,1.0,82.2,1,0,-0.028822
D000107,high,7728.85,14,1,2.0,55.0,1,0,-0.053328
D000108,low,4325.25,13,0,,130.9,5,0,0.0
D000109,high,19775.84,18,1,6.0,49.8,1,0,-0.076384
D000110,low,1887.48,18,0,,17.5,3,1,0.0
D000111,low,4606.25,5,0,,70.5,1,0,0.0
D000112,low,538.41,12,0,,23.3,5,0,0.0
D000113,high,10789.41,19,1,7.0,15.0,5,0,-0.052568
D000114,low,1016.66,7,0,,6.6,2,0,0.0
D000115,low,3722.23,1,0,,22.8,3,0,0.0
D000116,high,12636.69,23,1,11.0,32.3,1,0,-0.061896
D000117,low,1256.67,3,0,,118.0,5,0,0.0
D000118,high,11293.22,23,1,11.0,82.4,1,0,-0.064001
D000119,high,37371.82,0,0,,8.4,3,0,0.0
D000120,low,2241.86,14,0,,98.9,6,0,0.0
D000121,low,4230.47,1,0,,65.1,3,0,0.0
D000122,high,5333.83,7,0,,136.7,2,0,0.0
D000123,high,14636.97,19,1,7.0,62.0,1,0,-0.090899
D000124,low,1418.78,17,0,,65.3,2,1,0.0
D000125,high,40220.93,0,0,,54.4,5,0,0.0
D000126,low,2586.89,8,0,,99.4,2,0,0.0
D000127,low,2645.23,20,0,,5.7,6,0,0.0
D000128,low,888.74,22,0,,59.6,2,0,0.0
D000129,low,4493.75,18,0,,54.2,1,0,0.0
D000130,high,5055.61,2,0,,130.5,1,0,0.0
D000131,high,8632.56,9,0,,15.8,5,0,0.0
D000132,high,29975.61,9,0,,118.8,1,0,0.0
D000133,high,5088.27,17,1,5.0,33.6,4,0,-0.091656
D000134,low,4562.01,12,0,,118.5,1,1,0.0
D000135,high,12690.29,15,1,3.0,38.0,4,0,-0.042831
D000136,high,6035.3,0,0,,36.3,6,0,0.0
D000137,high,28377.46,14,1,2.0,10.4,1,0,-0.080859
D000138,low,4828.17,7,0,,44.0,3,0,0.0
D000139,high,7389.01,7,0,,88.1,2,0,0.0
D000140,low,1138.94,0,0,,56.0,2,0,0.0
D000141,high,6282.35,8,0,,91.0,3,0,0.0
D000142,high,5698.24,6,0,,30.0,2,0,0.0
D000143,low,334.11,6,0,,85.5,2,0,0.0
D000144,high,58467.88,0,0,,72.0,3,0,0.0
D000145,high,11629.55,13,1,1.0,101.7,2,0,-0.021744
D000146,high,19387.59,13,1,1.0,137.5,6,0,-0.014279
D000147,low,2567.42,20,0,,39.3,3,0,0.0
D000148,high,35949.67,3,0,,27.8,2,0,0.0
D000149,high,9082.66,11,0,,46.3,6,0,0.0
D000150,high,6551.7,10,0,,21.0,2,0,0.0
D000151,low,2814.91,15,0,,41.5,2,0,0.0
D000152,high,7195.96,5,0,,44.1,3,0,0.0
D000153,high,51506.32,14,1,2.0,93.8,5,0,-0.051481
D000154,low,2442.54,19,0,,90.9,1,0,0.0
D000155,low,3560.49,4,0,,76.4,5,1,0.0
D000156,high,7484.49,22,1,10.0,17.4,2,0,-0.073309
D000157,high,6492.86,7,0,,68.4,1,0,0.0
D000158,low,1558.13,14,0,,69.6,4,0,0.0
D000159,low,2174.76,9,0,,12.3,1,0,0.0
D000160,low,3871.28,17,0,,47.5,1,1,0.0
D000161,low,1169.57,16,0,,64.0,1,1,0.0
D000162,high,5369.91,20,1,8.0,67.5,1,0,-0.048046
D000163,high,13860.78,16,1,4.0,40.3,3,1,-0.045612
D000164,low,3057.66,21,0,,24.7,6,0,0.0
D000165,high,7278.84,2,0,,9.9,3,0,0.0
D000166,high,12870.28,2,0,,99.2,1,0,0.0
D000167,low,2974.47,8,0,,86.6,1,0,0.0
D000168,low,4738.01,20,0,,20.9,3,0,0.0
D000169,high,5637.98,5,0,,188.4,5,0,0.0
D000170,low,530.76,0,0,,69.5,1,0,0.0
D000171,high,5707.44,20,1,8.0,67.3,1,0,-0.064444
D000172,low,4115.37,21,0,,142.8,2,0,0.0
D000173,high,10794.5,18,1,6.0,25.0,4,0,-0.11033
D000174,high,5749.73,4,0,,28.1,2,0,0.0
D000175,low,2064.61,17,0,,26.2,2,0,0.0
D000176,low,2982.11,19,0,,70.9,3,0,0.0
D000177,low,1931.42,9,0,,109.7,4,0,0.0
D000178,low,3938.92,18,0,,126.3,3,0,0.0
D000179,low,2186.8,5,0,,76.2,1,0,0.0
D000180,high,18603.26,19,1,7.0,23.4,1,0,-0.081082
D000181,high,14549.46,23,1,11.0,80.9,4,0,-0.047346
D000182,low,279.25,4,0,,42.2,5,0,0.0
D000183,low,2509.9,18,0,,82.7,3,1,0.0
D000184,low,2925.29,9,0,,53.6,1,0,0.0
D000185,low,4668.74,2,0,,63.9,2,1,0.0
D000186,low,4906.45,9,0,,57.6,2,1,0.0
D000187,high,7767.88,21,1,9.0,77.8,3,0,-0.054822
D000188,low,3001.14,2,0,,47.1,1,0,0.0
D000189,high,12957.46,14,1,2.0,84.3,1,0,-0.033244
D000190,high,25579.58,8,0,,44.3,4,0,0.0
D000191,low,503.21,9,0,,52.4,3,0,0.0
D000192,low,1109.66,10,0,,23.1,1,0,0.0
D000193,low,4570.72,9,0,,60.1,5,1,0.0
D000194,low,1925.63,15,0,,79.8,2,0,0.0
D000195,low,4098.2,16,0,,20.6,1,0,0.0
D000196,high,5895.25,8,0,,20.0,2,0,0.0
D000197,low,1600.09,2,0,,31.5,2,0,0.0
D000198,high,10911.37,17,1,5.0,12.6,3,0,-0.087727
D000199,low,4782.61,20,0,,37.7,4,0,0.0
D000200,low,5039.03,22,0,,51.7,3,0,0.0
D000201,low,3075.28,13,0,,68.7,5,0,0.0
D000202,high,57997.24,22,1,10.0,185.0,2,0,-0.016902
D000203,low,3053.27,6,0,,58.2,3,0,0.0
D000204,low,4332.37,5,0,,14.2,2,1,0.0
D000205,high,9378.52,14,1,2.0,19.7,4,0,-0.046826
D000206,high,13217.36,6,0,,34.6,4,0,0.0
D000207,high,6640.56,6,0,,69.3,2,0,0.0
D000208,low,1657.91,23,0,,85.4,3,1,0.0
D000209,low,1594.52,5,0,,34.3,1,1,0.0
D000210,high,7302.23,4,0,,31.5,3,0,0.0
D000211,low,1207.4,5,0,,12.8,1,1,0.0
D000212,low,3191.24,1,0,,100.2,3,0,0.0
D000213,high,124866.41,6,0,,88.2,6,0,0.0
D000214,high,8789.11,8,0,,58.7,2,0,0.0
D000215,high,16363.58,2,0,,62.5,3,0,0.0
D000216,low,254.05,22,0,,21.2,2,1,0.0
D000217,low,1811.48,0,0,,19.1,6,0,0.0
D000218,low,912.1,7,0,,45.3,3,0,0.0
D000219,low,3669.9,3,0,,57.3,5,0,0.0
D000220,low,1049.84,11,0,,111.2,1,0,0.0
D000221,low,1248.57,15,0,,66.7,3,0,0.0
D000222,low,2639.13,0,0,,32.0,1,1,0.0
D000223,high,6733.18,10,0,,11.2,1,0,0.0
D000224,high,12350.11,14,1,2.0,51.5,2,0,-0.045965
D000225,low,3376.4,5,0,,46.8,2,0,0.0
D000226,high,16919.05,1,0,,71.1,3,0,0.0
D000227,low,1987.74,0,0,,90.9,1,0,0.0
D000228,low,2769.72,4,0,,77.4,3,0,0.0
D000229,high,5819.28,0,0,,80.0,4,0,0.0
D000230,low,3707.02,12,0,,68.3,1,0,0.0
D000231,low,936.51,21,0,,76.9,1,0,0.0
D000232,high,7414.35,14,1,2.0,86.1,3,0,-0.034119
D000233,low,2774.39,18,0,,66.9,3,0,0.0
D000234,low,1026.26,19,0,,77.1,3,0,0.0
D000235,low,2951.35,12,0,,13.7,3,0,0.0
D000236,high,7795.86,19,1,7.0,43.7,4,1,-0.069185
D000237,low,3276.26,16,0,,109.9,2,0,0.0
D000238,low,2282.05,18,0,,62.0,4,0,0.0
D000239,low,2925.06,1,0,,16.6,1,0,0.0
D000240,high,5923.44,21,1,9.0,71.8,2,0,-0.078199
D000241,high,8103.96,13,1,1.0,54.6,4,0,-0.030728
D000242,high,7618.92,2,0,,49.4,3,0,0.0
D000243,high,7175.19,2,0,,54.8,2,0,0.0
D000244,high,34555.49,7,0,,53.1,4,0,0.0
D000245,high,7748.58,16,1,4.0,60.1,4,0,-0.061544
D000246,low,2402.61,19,0,,20.2,2,1,0.0
D000247,high,24644.72,2,0,,79.4,5,0,0.0
D000248,low,159.91,0,0,,79.3,1,0,0.0
D000249,low,1503.28,22,0,,48.8,2,1,0.0
D000250,high,5524.94,12,1,0.0,31.8,3,0,0.0
D000251,low,2071.92,2,0,,38.7,4,0,0.0
D000252,high,10089.85,22,1,10.0,241.9,4,0,-0.022576
D000253,high,8335.04,7,0,,21.0,4,0,0.0
D000254,low,3411.64,13,0,,65.7,4,0,0.0
D000255,low,1991.17,12,0,,46.7,6,0,0.0
D000256,low,3192.51,18,0,,45.0,1,1,0.0
D000257,low,1656.34,6,0,,54.5,3,0,0.0
D000258,high,5772.47,23,1,11.0,27.7,2,0,-0.107588
D000259,low,225.2,20,0,,57.1,4,0,0.0
D000260,low,3915.95,20,0,,24.7,4,1,0.0
D000261,high,10046.2,2,0,,136.3,2,0,0.0
D000262,low,780.1,11,0,,137.4,3,0,0.0
D000263,high,8470.78,20,1,8.0,54.2,1,0,-0.060421
D000264,high,5394.02,12,1,0.0,1.7,2,1,0.0
D000265,low,1984.01,7,0,,77.1,4,0,0.0
D000266,low,1831.74,15,0,,83.1,2,0,0.0
D000267,high,5281.26,21,1,9.0,87.0,2,0,-0.048182
D000268,high,8717.99,12,1,0.0,46.5,1,1,0.0
D000269,low,1046.75,16,0,,116.1,1,0,0.0
D000270,low,1605.37,12,0,,55.3,1,0,0.0
D000271,low,1839.76,2,0,,69.1,1,0,0.0
D000272,high,6170.94,7,0,,59.7,1,0,0.0
D000273,low,3901.07,3,0,,43.3,3,0,0.0
D000274,low,3446.85,9,0,,65.5,2,0,0.0
D000275,low,1978.86,12,0,,47.9,5,0,0.0
D000276,high,31405.69,4,0,,24.6,2,1,0.0
D000277,high,8131.02,14,1,2.0,39.5,1,1,-0.096438
D000278,high,55158.88,2,0,,39.0,2,0,0.0
D000279,high,9636.14,20,1,8.0,21.9,3,0,-0.044154
D000280,low,3101.28,7,0,,93.8,2,0,0.0
D000281,high,26713.93,19,1,7.0,73.1,4,0,-0.046416
D000282,low,1264.2,12,0,,112.9,1,0,0.0
D000283,high,7707.6,11,0,,138.9,1,0,0.0
D000284,high,24945.55,20,1,8.0,98.6,2,0,-0.050239
D000285,high,12506.27,19,1,7.0,54.5,2,0,-0.050613
D000286,high,11057.87,3,0,,21.0,1,0,0.0
D000287,high,5616.04,11,0,,52.0,2,0,0.0
D000288,low,1806.7,21,0,,83.2,2,0,0.0
D000289,low,4190.69,21,0,,21.1,2,0,0.0
D000290,high,6217.75,19,1,7.0,120.7,4,0,-0.054593
D000291,low,1294.85,19,0,,43.8,3,0,0.0
D000292,high,25677.09,9,0,,143.7,2,0,0.0
D000293,low,2447.76,21,0,,95.9,3,0,0.0
D000294,high,6668.61,9,0,,38.9,2,1,0.0
D000295,high,9141.27,6,0,,155.8,5,0,0.0
D000296,high,10364.4,6,0,,63.3,4,0,0.0
D000297,low,287.17,14,0,,29.3,2,0,0.0
D000298,high,34652.16,21,1,9.0,95.5,2,0,-0.052125
D000299,low,3349.45,3,0,,12.1,2,0,0.0
D000300,low,1785.33,13,0,,85.6,2,0,0.0
D000301,low,3620.47,8,0,,67.0,3,0,0.0
D000302,low,2178.12,3,0,,71.3,3,0,0.0
D000303,high,5949.45,2,0,,61.0,3,0,0.0
D000304,high,23948.27,19,1,7.0,101.6,2,0,-0.03536
D000305,low,2759.47,19,0,,45.5,5,0,0.0
D000306,low,627.42,6,0,,170.4,2,0,0.0
D000307,low,1770.29,8,0,,86.0,3,1,0.0
D000308,high,8955.92,4,0,,32.1,1,0,0.0
D000309,high,10035.8,19,1,7.0,23.8,3,0,-0.036028
D000310,low,3147.04,23,0,,27.7,1,0,0.0
D000311,low,4814.49,1,0,,86.7,1,0,0.0
D000312,high,12494.09,19,1,7.0,93.4,1,0,-0.044057
D000313,low,4671.83,23,0,,72.4,1,0,0.0
D000314,low,1396.33,1,0,,22.1,3,0,0.0
D000315,low,337.1,4,0,,32.8,1,0,0.0
D000316,low,1930.06,15,0,,127.3,1,0,0.0
D000317,low,2350.31,6,0,,88.2,3,0,0.0
D000318,high,5285.96,19,1,7.0,70.4,4,0,-0.057203
D000319,low,3404.85,4,0,,30.3,2,1,0.0
D000320,low,2893.58,23,0,,77.4,2,0,0.0
D000321,low,4547.44,13,0,,9.9,2,0,0.0
D000322,high,8669.77,13,1,1.0,131.0,1,0,-0.022583
D000323,low,4200.77,12,0,,43.3,2,1,0.0
D000324,low,4556.33,21,0,,87.9,5,0,0.0
D000325,high,8587.77,12,1,0.0,35.9,2,0,0.0
D000326,low,3578.68,22,0,,15.9,3,0,0.0
D000327,high,7678.02,13,1,1.0,42.5,6,1,-0.038758
D000328,high,25883.91,10,0,,61.2,1,0,0.0
D000329,low,1896.56,4,0,,88.9,1,0,0.0
D000330,low,2250.77,1,0,,115.9,1,1,0.0
D000331,low,1394.66,0,0,,22.8,1,0,0.0
D000332,high,40144.27,16,1,4.0,28.5,4,1,-0.04655
D000333,high,15726.1,1,0,,31.2,1,1,0.0
D000334,high,12535.62,23,1,11.0,90.7,1,0,-0.096587
D000335,low,1387.36,9,0,,121.7,1,0,0.0
D000336,high,5166.33,6,0,,73.7,1,0,0.0
D000337,high,9800.99,21,1,9.0,64.3,1,0,-0.071986
D000338,low,1583.3,0,0,,58.8,1,0,0.0
D000339,low,2091.87,12,0,,13.1,2,0,0.0
D000340,high,5853.1,23,1,11.0,84.3,1,0,-0.05309
D000341,low,1194.1,12,0,,46.7,1,0,0.0
D000342,low,3982.16,10,0,,44.6,4,0,0.0
D000343,high,7833.04,22,1,10.0,23.9,1,0,-0.046487
D000344,high,21171.83,11,0,,53.7,3,0,0.0
D000345,high,8452.94,1,0,,96.6,4,0,0.0
D000346,low,709.46,23,0,,81.2,2,1,0.0
D000347,high,46123.04,23,1,11.0,11.6,2,0,-0.048089
D000348,high,19198.82,18,1,6.0,102.3,1,0,-0.061705
D000349,high,7986.21,19,1,7.0,24.9,4,0,-0.062543
D000350,low,4186.96,6,0,,88.5,3,1,0.0
D000351,high,15706.91,0,0,,165.6,4,0,0.0
D000352,high,6272.75,5,0,,44.2,3,0,0.0
D000353,low,4267.41,8,0,,108.1,6,0,0.0
D000354,high,5352.23,14,1,2.0,12.7,1,0,-0.062257
D000355,high,6932.19,12,1,0.0,67.4,4,0,0.0
D000356,low,3683.58,15,0,,9.8,1,1,0.0
D000357,low,4760.63,5,0,,57.4,1,0,0.0
D000358,high,5551.96,17,1,5.0,63.1,2,0,-0.065154
D000359,high,6261.19,14,1,2.0,60.0,3,0,-0.054806
D000360,low,2165.28,23,0,,18.9,4,0,0.0
D000361,low,3187.37,21,0,,47.6,2,1,0.0
D000362,high,16591.17,1,0,,75.2,3,0,0.0
D000363,high,8388.65,10,0,,117.9,4,0,0.0
D000364,high,7977.96,19,1,7.0,53.6,2,0,-0.062296
D000365,high,9065.27,12,1,0.0,44.1,3,0,0.0
D000366,high,10914.53,20,1,8.0,27.1,2,0,-0.050246
D000367,high,9746.41,22,1,10.0,99.5,1,1,-0.04313
D000368,low,1662.62,23,0,,33.0,5,0,0.0
D000369,low,1119.42,22,0,,18.0,2,0,0.0
D000370,high,43906.13,11,0,,27.9,2,0,0.0
D000371,high,6916.46,9,0,,96.0,3,0,0.0
D000372,high,6129.24,16,1,4.0,86.5,3,0,-0.041997
D000373,low,2508.36,4,0,,57.4,2,0,0.0
D000374,low,724.98,5,0,,57.9,2,0,0.0
D000375,low,387.45,6,0,,22.0,2,0,0.0
D000376,low,888.22,5,0,,52.2,1,0,0.0
D000377,high,14124.27,0,0,,30.0,6,0,0.0
D000378,high,8663.06,6,0,,77.7,2,0,0.0
D000379,low,4860.52,17,0,,13.7,3,0,0.0
D000380,high,72225.65,2,0,,18.5,3,0,0.0
D000381,low,1532.97,7,0,,33.6,3,0,0.0
D000382,low,2126.56,23,0,,38.0,1,0,0.0
D000383,high,20009.73,13,1,1.0,50.5,4,0,-0.031644
D000384,high,7086.61,9,0,,18.8,4,0,0.0
D000385,high,7459.04,3,0,,75.6,3,0,0.0
D000386,low,1728.38,14,0,,45.9,3,1,0.0
D000387,high,17665.55,15,1,3.0,42.0,2,0,-0.113222
D000388,high,14745.87,5,0,,35.2,2,0,0.0
D000389,low,1971.39,11,0,,21.8,3,0,0.0
D000390,low,3253.63,9,0,,25.3,4,0,0.0
D000391,high,23901.16,10,0,,65.8,3,0,0.0
D000392,high,5860.44,13,1,1.0,39.4,6,0,-0.025627
D000393,high,7776.89,2,0,,39.1,2,1,0.0
D000394,low,3020.94,12,0,,35.2,2,1,0.0
D000395,high,7920.52,5,0,,13.3,1,0,0.0
D000396,high,11425.38,23,1,11.0,54.3,4,0,-0.03793
D000397,low,3497.57,22,0,,68.1,1,1,0.0
D000398,low,2255.32,3,0,,5.4,2,0,0.0
D000399,high,8633.61,8,0,,53.1,4,0,0.0
D000400,high,34526.18,14,1,2.0,36.0,4,0,-0.042931
D000401,low,3987.28,7,0,,49.8,1,0,0.0
D000402,high,27772.86,8,0,,88.4,2,0,0.0
D000403,low,646.96,6,0,,35.8,3,0,0.0
D000404,low,4950.8,19,0,,78.1,4,0,0.0
D000405,high,13296.7,12,1,0.0,196.2,1,0,0.0
D000406,high,17037.98,0,0,,9.2,1,0,0.0
D000407,high,10235.38,4,0,,132.7,2,1,0.0
D000408,high,24997.57,21,1,9.0,88.9,6,0,-0.040354
D000409,low,1354.58,0,0,,32.3,4,0,0.0
D000410,low,4731.56,15,0,,28.4,1,0,0.0
D000411,high,8501.38,14,1,2.0,46.2,5,0,-0.050349
D000412,high,12639.51,9,0,,99.4,1,0,0.0
D000413,low,1925.14,0,0,,228.7,1,0,0.0
D000414,high,27918.44,11,0,,97.1,5,0,0.0
D000415,high,47773.55,11,0,,71.2,2,0,0.0
D000416,high,46179.07,4,0,,45.0,4,0,0.0
D000417,low,1548.11,14,0,,55.9,1,0,0.0
D000418,high,6274.68,1,0,,24.7,2,0,0.0
D000419,high,8082.78,14,1,2.0,34.9,1,0,-0.055862
D000420,high,46947.19,21,1,9.0,66.0,1,0,-0.054848
D000421,low,3632.19,13,0,,148.5,1,0,0.0
D000422,high,6925.36,10,0,,69.0,2,0,0.0
D000423,high,14419.11,9,0,,41.7,3,0,0.0
D000424,low,1220.63,13,0,,225.1,4,0,0.0
D000425,high,29687.13,10,0,,79.8,3,0,0.0
D000426,low,3687.07,18,0,,43.8,2,0,0.0
D000427,low,2381.38,2,0,,111.6,5,0,0.0
D000428,low,524.43,5,0,,54.5,1,1,0.0
D000429,low,4181.19,16,0,,68.5,4,0,0.0
D000430,high,6591.35,17,1,5.0,82.4,2,0,-0.054361
D000431,low,1104.82,1,0,,65.7,1,0,0.0
D000432,low,2234.62,16,0,,19.5,5,0,0.0
D000433,low,343.18,7,0,,17.0,1,1,0.0
D000434,high,8590.85,3,0,,74.0,2,0,0.0
D000435,low,1497.86,22,0,,40.0,1,0,0.0
D000436,low,4803.66,2,0,,67.1,4,0,0.0
D000437,low,4839.02,2,0,,69.8,2,0,0.0
D000438,low,4509.31,0,0,,58.6,2,0,0.0
D000439,low,3961.84,8,0,,41.1,2,0,0.0
D000440,high,8440.85,3,0,,35.1,5,0,0.0
D000441,low,3300.28,19,0,,28.5,1,0,0.0
D000442,low,3973.25,17,0,,100.1,5,0,0.0
D000443,high,7353.48,10,0,,49.8,6,0,0.0
D000444,low,1734.2,7,0,,70.1,5,0,0.0
D000445,high,9732.67,22,1,10.0,25.6,3,0,-0.057233
D000446,high,182778.78,21,1,9.0,185.9,4,0,-0.024614
D000447,high,11954.23,18,1,6.0,26.3,2,1,-0.072174
D000448,low,3561.81,19,0,,78.9,2,0,0.0
D000449,high,8308.97,9,0,,110.8,1,0,0.0
D000450,high,41386.56,1,0,,63.4,1,0,0.0
D000451,high,8487.3,21,1,9.0,171.0,1,0,-0.02342
D000452,low,1951.7,2,0,,62.1,2,0,0.0
D000453,low,4397.05,10,0,,27.1,5,0,0.0
D000454,high,10553.27,11,0,,61.6,1,0,0.0
D000455,low,1667.83,20,0,,7.5,4,0,0.0
D000456,low,1405.92,6,0,,34.3,6,0,0.0
D000457,low,4523.19,17,0,,100.2,2,0,0.0
D000458,low,3433.9,7,0,,22.3,3,0,0.0
D000459,high,17919.89,16,1,4.0,24.5,4,0,-0.072221
D000460,high,68454.97,23,1,11.0,42.8,1,0,-0.060626
D000461,low,1456.03,1,0,,154.9,3,0,0.0
D000462,high,5860.16,8,0,,92.3,4,0,0.0
D000463,high,7525.22,14,1,2.0,101.9,5,0,-0.029696
D000464,low,3750.71,5,0,,51.6,2,0,0.0
D000465,low,4786.0,19,0,,48.7,5,0,0.0
D000466,high,9443.88,2,0,,110.5,1,1,0.0
D000467,high,19902.94,14,1,2.0,72.5,3,0,-0.026504
D000468,high,6471.02,11,0,,54.0,4,1,0.0
D000469,low,2400.35,0,0,,56.6,3,0,0.0
D000470,low,4776.63,5,0,,110.7,2,0,0.0
D000471,low,2186.66,21,0,,112.5,1,1,0.0
D000472,high,63743.12,9,0,,60.6,2,0,0.0
D000473,high,6040.03,19,1,7.0,164.0,4,0,-0.032416
D000474,high,8682.67,0,0,,24.8,2,0,0.0
D000475,high,23657.7,12,1,0.0,56.5,1,0,0.0
D000476,low,4008.18,3,0,,46.4,2,0,0.0
D000477,low,1260.64,10,0,,87.1,2,0,0.0
