account_id,value_group,account_value,engagement_score,dormancy_streak_months,flagged,product_count,tenure_months,balance,offer_type,treated,bad_outcome,true_effect_prob
M000097,high,6039.2,36.3,0,0,1,64.1,5251.47,cashback,1,0,-0.065601
M000098,low,3971.45,31.1,1,0,3,135.0,2738.93,sms,1,0,-0.036758
M000099,high,28621.67,48.1,0,0,2,39.5,22016.67,cashback,1,1,-0.066191
M000100,high,15093.66,27.3,2,0,4,63.8,9433.53,cashback,1,0,-0.076168
M000101,low,1206.51,42.0,1,0,4,53.3,754.07,sms,1,0,-0.045661
M000102,high,8907.42,46.7,1,0,4,74.5,5567.14,cashback,1,0,-0.054694
M000103,low,650.81,65.7,2,0,1,50.7,565.92,sms,1,0,-0.053536
M000104,low,219.89,52.7,0,0,3,44.0,151.65,sms,1,0,-0.044154
M000105,high,6521.26,47.4,1,0,4,76.7,4075.79,cashback,1,0,-0.035695
M000106,high,11191.17,61.9,1,0,1,83.2,9731.45,cashback,1,0,-0.100844
M000107,high,18640.01,49.4,0,0,6,2.9,9810.53,cashback,1,0,-0.036102
M000108,low,1158.62,32.7,2,0,3,149.8,799.05,sms,1,0,-0.022759
M000109,low,2632.14,55.5,1,0,2,104.6,2024.72,none,0,0,0.0
M000110,high,21686.34,62.4,2,0,1,21.6,18857.68,cashback,1,0,-0.086379
M000111,high,4816.53,40.4,1,0,2,82.0,3705.02,cashback,1,0,-0.054567
M000112,high,4662.22,29.4,2,0,4,101.2,2913.89,none,0,0,0.0
M000113,low,2005.68,36.9,1,0,6,36.3,1055.62,sms,1,0,-0.054722
M000114,low,3228.57,49.1,1,0,1,30.9,2807.45,none,0,0,0.0
M000115,high,4575.84,23.6,3,1,5,109.1,2614.77,cashback,1,0,-0.158502
M000116,low,3204.21,23.8,0,0,2,47.1,2464.77,sms,1,0,-0.044638
M000117,high,5506.2,34.3,1,0,5,38.4,3146.4,cashback,1,0,-0.098861
M000118,low,762.66,60.1,5,1,1,55.6,663.18,sms,1,0,-0.085721
M000119,low,914.93,43.2,3,1,1,25.6,795.6,sms,1,1,-0.084263
M000120,high,6821.09,27.9,1,0,6,24.8,3590.05,cashback,1,0,-0.066424
M000121,low,532.0,30.6,2,0,1,53.1,462.61,sms,1,0,-0.060486
M000122,high,13620.99,76.1,2,0,3,96.0,9393.79,cashback,1,0,-0.072236
M000123,high,33600.21,66.5,5,1,5,141.4,19200.12,cashback,1,0,-0.123599
M000124,high,8686.2,54.1,1,0,1,61.5,7553.22,cashback,1,0,-0.069526
M000125,low,1252.24,80.7,0,0,2,43.1,963.27,sms,1,1,-0.052802
M000126,low,3901.17,48.4,0,0,2,38.3,3000.9,sms,1,0,-0.045077
M000127,low,2704.7,38.2,1,0,2,102.1,2080.53,sms,1,0,-0.04627
M000128,low,2477.87,48.7,4,1,3,50.0,1708.87,sms,1,0,-0.074862
M000129,low,2177.78,33.3,0,0,2,29.8,1675.22,sms,1,1,-0.04523
M000130,low,2442.18,32.7,0,0,2,37.2,1878.6,sms,1,0,-0.055447
M000131,high,5099.58,53.6,2,0,2,41.2,3922.76,cashback,1,0,-0.112211
M000132,low,2102.75,55.0,2,0,1,43.0,1828.48,sms,1,0,-0.058211
M000133,high,6064.44,60.0,4,1,1,133.1,5273.42,cashback,1,1,-0.180704
M000134,low,231.36,61.8,5,1,3,22.5,159.56,sms,1,0,-0.081571
M000135,low,500.2,39.4,1,0,1,11.4,434.96,sms,1,1,-0.052325
M000136,high,4292.31,61.6,3,1,1,58.0,3732.44,cashback,1,0,-0.185056
M000137,high,84069.58,61.6,0,0,1,53.5,73103.98,cashback,1,0,-0.044037
M000138,high,4150.07,60.9,1,0,1,156.7,3608.76,cashback,1,0,-0.029064
M000139,low,3061.59,57.6,0,0,1,98.0,2662.25,sms,1,1,-0.029054
M000140,low,1835.37,75.0,2,0,4,9.1,1147.11,sms,1,0,-0.036878
M000141,high,8889.7,26.8,2,0,2,38.6,6838.23,cashback,1,0,-0.056059
M000142,low,1729.09,72.6,1,0,1,42.6,1503.55,none,0,0,0.0
M000143,high,5940.73,28.9,3,1,2,106.7,4569.79,cashback,1,0,-0.147506
M000144,low,3095.83,4.9,5,1,6,45.1,1629.38,none,0,1,0.0
M000145,low,1085.55,57.6,0,0,1,67.9,943.96,sms,1,1,-0.048879
M000146,low,1873.02,56.0,2,0,1,79.9,1628.72,none,0,0,0.0
M000147,low,1163.34,36.5,1,0,3,36.1,802.3,sms,1,0,-0.038364
M000148,low,2817.98,24.8,3,1,2,131.4,2167.68,sms,1,1,-0.084382
M000149,low,4008.39,42.5,3,1,2,78.6,3083.38,sms,1,0,-0.086787
M000150,high,10093.17,51.4,2,0,5,76.4,5767.52,cashback,1,0,-0.076026
M000151,low,1434.79,54.4,1,0,1,41.8,1247.65,sms,1,0,-0.044903
M000152,high,5079.96,46.0,0,0,1,63.2,4417.36,cashback,1,0,-0.102333
M000153,low,2844.2,73.5,1,0,1,52.9,2473.22,sms,1,0,-0.042404
M000154,high,8919.36,63.5,1,0,1,51.0,7755.97,cashback,1,0,-0.061604
M000155,high,7599.09,19.3,2,1,2,72.2,5845.45,cashback,1,0,-0.163752
M000156,high,9324.78,43.2,3,1,1,56.4,8108.5,cashback,1,0,-0.172461
M000157,high,4212.27,57.6,3,1,3,4.6,2905.01,cashback,1,0,-0.175234
M000158,high,9218.64,41.2,2,0,1,86.2,8016.21,cashback,1,0,-0.078801
M000159,high,19442.65,4.2,0,0,6,41.8,10232.97,none,0,0,0.0
M000160,high,19536.89,44.3,3,1,1,25.4,16988.6,cashback,1,0,-0.185234
M000161,low,2443.44,43.0,0,0,5,113.8,1396.25,sms,1,0,-0.029298
M000162,low,1128.21,44.9,4,1,2,60.0,867.86,sms,1,0,-0.086789
M000163,low,649.89,32.4,1,0,3,148.0,448.2,sms,1,0,-0.030395
M000164,high,7436.78,50.4,2,0,4,113.0,4647.99,cashback,1,0,-0.049476
M000165,low,2862.26,45.4,3,1,1,56.2,2488.92,sms,1,1,-0.077585
M000166,high,4739.09,40.0,3,1,4,64.7,2961.93,cashback,1,0,-0.184934
M000167,low,778.5,48.2,1,0,1,66.5,676.95,sms,1,0,-0.04586
M000168,high,18732.09,33.4,0,0,3,65.6,12918.68,none,0,0,0.0
M000169,low,1719.76,0.0,1,1,2,10.5,1322.89,sms,1,1,-0.082975
M000170,low,1049.51,56.9,4,1,2,12.1,807.31,sms,1,1,-0.067701
M000171,high,4830.94,41.7,2,0,2,10.5,3716.11,cashback,1,0,-0.055946
M000172,high,4587.55,34.2,1,0,4,29.5,2867.22,cashback,1,0,-0.112584
M000173,low,382.28,52.2,0,0,3,67.2,263.64,sms,1,0,-0.048055
M000174,high,9622.28,39.2,1,0,4,46.3,6013.93,cashback,1,0,-0.071356
M000175,low,3156.56,75.0,1,0,1,57.5,2744.84,sms,1,0,-0.03588
M000176,low,962.25,48.6,3,1,3,37.7,663.62,sms,1,0,-0.083457
M000177,high,31282.79,80.5,2,0,2,18.9,24063.68,cashback,1,0,-0.088363
M000178,high,41406.29,25.5,1,0,1,47.7,36005.47,none,0,0,0.0
M000179,high,10212.99,59.6,3,1,6,7.5,5375.26,cashback,1,1,-0.181698
M000180,low,1180.24,23.8,0,0,4,34.4,737.65,sms,1,1,-0.044712
M000181,low,962.14,49.4,3,1,3,34.8,663.54,sms,1,1,-0.073067
M000182,high,9296.14,37.6,2,0,5,63.1,5312.08,cashback,1,0,-0.066188
M000183,low,3239.92,46.6,1,0,2,8.3,2492.25,sms,1,0,-0.043618
M000184,high,66558.18,68.1,2,0,2,13.8,51198.6,cashback,1,0,-0.090497
M000185,low,731.75,53.3,2,0,1,19.2,636.3,sms,1,0,-0.049609
M000186,low,1752.49,50.7,2,0,2,13.5,1348.07,sms,1,0,-0.05072
M000187,low,1696.06,57.9,3,1,1,36.7,1474.83,none,0,0,0.0
M000188,low,2625.34,55.0,1,0,2,84.8,2019.49,sms,1,0,-0.035175
M000189,low,3749.16,12.7,2,1,4,11.3,2343.23,sms,1,1,-0.079905
M000190,low,1144.62,60.2,2,0,3,39.1,789.4,sms,1,0,-0.040293
M000191,high,5456.44,88.3,1,0,2,9.6,4197.26,cashback,1,0,-0.077254
M000192,high,4389.52,30.6,1,0,2,232.6,3376.55,cashback,1,0,-0.023363
M000193,low,821.77,23.5,1,1,3,31.5,566.74,sms,1,1,-0.083004
M000194,low,2565.87,51.9,3,1,2,98.9,1973.75,sms,1,1,-0.084242
M000195,low,3000.67,63.1,0,0,3,98.8,2069.43,sms,1,0,-0.073986
M000196,low,1368.55,31.3,1,0,3,70.9,943.83,sms,1,1,-0.041599
M000197,high,5793.51,53.3,3,1,1,58.4,5037.84,none,0,1,0.0
M000198,high,9840.21,58.4,2,0,3,76.1,6786.35,cashback,1,0,-0.055014
M000199,high,5849.29,18.4,0,0,3,49.2,4033.99,none,0,0,0.0
M000200,low,2917.21,37.2,1,0,1,128.5,2536.71,sms,1,0,-0.049673
M000201,high,8429.72,59.0,0,0,6,32.9,4436.69,cashback,1,0,-0.072114
M000202,high,41036.4,39.1,0,0,5,83.1,23449.37,none,0,0,0.0
M000203,low,1891.68,28.6,0,0,4,24.6,1182.3,sms,1,0,-0.073797
M000204,low,2371.91,68.2,0,0,2,51.8,1824.54,sms,1,1,-0.048719
M000205,low,2146.26,50.4,4,1,1,13.4,1866.31,none,0,1,0.0
M000206,high,7738.69,28.8,3,1,4,48.5,4836.68,cashback,1,0,-0.182779
M000207,high,4633.99,68.9,0,0,1,14.7,4029.56,cashback,1,0,-0.059367
M000208,low,1856.76,75.1,1,0,1,37.6,1614.57,sms,1,0,-0.0519
M000209,high,17112.19,12.6,3,1,4,36.1,10695.12,cashback,1,1,-0.149441
M000210,high,31547.7,61.4,0,0,1,20.1,27432.78,cashback,1,0,-0.129055
M000211,low,3907.6,42.8,2,0,2,67.2,3005.85,sms,1,0,-0.053901
M000212,low,638.97,23.2,3,1,3,47.4,440.67,sms,1,0,-0.087254
M000213,high,12159.21,62.3,2,0,4,78.7,7599.51,cashback,1,0,-0.048433
M000214,high,4907.86,25.3,0,0,4,72.0,3067.41,cashback,1,0,-0.034316
M000215,low,3352.19,36.8,4,1,2,27.3,2578.61,sms,1,0,-0.077365
M000216,high,6354.06,49.1,0,0,3,51.3,4382.11,none,0,0,0.0
M000217,low,866.9,45.3,2,0,2,32.7,666.85,sms,1,0,-0.044834
M000218,high,8359.67,100.0,1,0,4,69.1,5224.79,cashback,1,1,-0.061964
M000219,high,11848.11,9.0,0,0,3,8.3,8171.11,cashback,1,0,-0.090893
M000220,low,2155.95,47.2,0,0,3,203.9,1486.86,sms,1,0,-0.034354
M000221,high,7587.36,100.0,1,0,4,5.8,4742.1,cashback,1,0,-0.085309
M000222,low,1205.14,24.7,3,1,1,40.3,1047.95,sms,1,0,-0.084011
M000223,high,17338.42,29.4,3,1,2,61.2,13337.24,cashback,1,0,-0.165626
M000224,high,5845.02,61.9,1,0,1,20.2,5082.62,none,0,0,0.0
M000225,high,4456.3,62.5,4,1,1,128.0,3875.04,cashback,1,0,-0.176949
M000226,low,2559.28,76.8,3,1,1,41.8,2225.46,sms,1,1,-0.077069
M000227,low,1864.08,0.0,1,1,2,172.4,1433.91,sms,1,0,-0.07708
M000228,high,13495.91,67.1,1,0,2,67.2,10381.47,none,0,0,0.0
M000229,low,555.62,30.0,1,0,2,57.9,427.4,sms,1,0,-0.060019
M000230,low,1588.48,37.9,0,0,6,35.1,836.04,sms,1,0,-0.032994
M000231,low,2612.99,50.4,2,0,2,71.0,2009.99,sms,1,0,-0.034618
M000232,high,45160.16,30.7,1,0,5,50.0,25805.81,cashback,1,0,-0.072387
M000233,low,3105.04,27.7,1,0,2,27.7,2388.49,none,0,0,0.0
M000234,high,22821.81,45.2,4,1,2,62.3,17555.24,cashback,1,1,-0.184067
M000235,low,1231.91,72.2,0,0,1,61.1,1071.23,none,0,1,0.0
M000236,low,3974.56,42.4,3,1,4,37.8,2484.1,sms,1,0,-0.075144
M000237,low,3836.75,33.2,5,1,3,73.2,2646.03,sms,1,0,-0.084247
M000238,low,3330.7,20.3,1,1,3,71.2,2297.03,sms,1,1,-0.087217
M000239,high,27545.69,43.9,5,1,3,51.7,18997.03,cashback,1,0,-0.175276
M000240,low,465.33,72.1,3,1,1,19.4,404.63,sms,1,0,-0.081431
M000241,high,7268.16,26.1,5,1,2,6.0,5590.89,cashback,1,0,-0.17709
M000242,low,2766.58,26.7,1,0,3,54.1,1907.99,none,0,0,0.0
M000243,high,8854.68,30.4,0,0,3,75.1,6106.68,cashback,1,0,-0.059385
M000244,low,2971.81,61.5,2,0,3,64.6,2049.52,sms,1,1,-0.055658
M000245,high,4937.71,40.7,0,0,2,7.3,3798.24,cashback,1,1,-0.062541
M000246,low,1798.65,66.1,2,0,1,36.5,1564.04,sms,1,0,-0.049485
M000247,low,3672.54,29.3,0,0,3,112.1,2532.79,none,0,0,0.0
M000248,high,4858.63,45.9,3,1,1,27.9,4224.9,cashback,1,0,-0.16903
M000249,high,4223.1,33.2,2,0,1,92.9,3672.26,cashback,1,1,-0.086103
M000250,low,2860.51,51.7,3,1,4,60.3,1787.82,sms,1,0,-0.087262
M000251,high,10170.36,75.8,1,0,1,14.6,8843.79,none,0,0,0.0
M000252,high,13415.71,44.3,2,0,1,31.1,11665.83,cashback,1,0,-0.10432
M000253,low,1027.61,1.1,2,1,1,34.2,893.57,sms,1,0,-0.075809
M000254,high,5528.81,14.6,2,1,1,54.9,4807.66,none,0,1,0.0
M000255,low,2850.68,23.7,0,0,3,64.6,1965.99,sms,1,0,-0.043316
M000256,high,5155.95,52.2,1,0,2,41.7,3966.12,cashback,1,0,-0.094976
M000257,low,2859.93,42.9,1,0,1,16.4,2486.89,sms,1,0,-0.044176
M000258,low,3972.04,36.4,5,1,5,32.0,2269.74,sms,1,0,-0.079193
M000259,low,3235.87,29.8,0,0,3,29.4,2231.63,sms,1,0,-0.046747
M000260,high,6428.61,47.1,3,1,4,111.3,4017.88,cashback,1,0,-0.183859
M000261,high,32183.3,16.3,1,1,2,169.1,24756.39,cashback,1,0,-0.154338
M000262,low,3680.56,56.2,1,0,3,33.7,2538.31,sms,1,0,-0.052285
M000263,low,1200.15,40.0,2,0,3,47.5,827.69,sms,1,0,-0.065875
M000264,low,2017.32,50.6,2,0,3,49.7,1391.25,sms,1,0,-0.051157
M000265,high,7889.76,40.7,2,0,4,58.2,4931.1,cashback,1,0,-0.096767
M000266,low,2185.23,16.9,1,1,3,34.6,1507.06,sms,1,1,-0.082128
M000267,high,5683.49,56.3,1,0,4,82.6,3552.18,cashback,1,0,-0.066791
M000268,high,7046.13,33.9,4,1,2,19.5,5420.1,none,0,0,0.0
M000269,low,804.38,29.6,1,0,3,65.1,554.75,sms,1,0,-0.046358
M000270,high,29371.82,77.3,2,0,5,33.5,16783.9,cashback,1,0,-0.044664
M000271,low,2424.38,54.2,1,0,2,37.0,1864.9,sms,1,0,-0.035785
M000272,low,1987.66,46.6,2,0,1,46.8,1728.4,sms,1,0,-0.033998
M000273,high,12573.24,63.6,1,0,1,34.5,10933.25,cashback,1,0,-0.08395
M000274,high,8053.44,67.7,1,0,3,31.8,5554.1,cashback,1,0,-0.080628
M000275,low,426.33,20.5,2,1,4,89.3,266.45,sms,1,0,-0.087036
M000276,high,11144.94,45.5,1,0,1,148.0,9691.25,cashback,1,0,-0.069273
M000277,low,2141.03,19.1,0,0,1,49.5,1861.76,sms,1,0,-0.060067
M000278,low,1211.49,34.0,1,0,6,57.7,637.63,sms,1,0,-0.069973
M000279,high,23304.57,56.4,2,0,3,18.8,16072.11,cashback,1,0,-0.059778
M000280,low,2402.67,29.6,3,1,3,144.5,1657.01,sms,1,0,-0.084076
M000281,high,4206.42,48.5,3,1,1,21.0,3657.76,cashback,1,0,-0.175514
M000282,low,716.07,36.6,3,1,2,119.6,550.83,sms,1,1,-0.086358
M000283,low,1214.95,15.9,1,1,4,25.9,759.34,sms,1,1,-0.086921
M000284,high,7217.31,39.5,3,1,2,96.5,5551.78,none,0,0,0.0
M000285,high,19095.53,44.8,0,0,1,56.8,16604.81,cashback,1,0,-0.054846
M000286,high,9663.19,49.1,2,0,4,71.0,6039.49,cashback,1,0,-0.082422
M000287,high,4128.62,21.5,0,0,4,64.3,2580.39,none,0,0,0.0
M000288,low,952.56,46.5,2,0,1,40.9,828.31,sms,1,0,-0.049742
M000289,low,478.49,34.4,1,0,3,30.9,329.99,sms,1,1,-0.056557
M000290,high,4244.48,9.4,1,1,2,34.9,3264.98,none,0,0,0.0
M000291,high,8361.16,41.0,1,0,1,20.4,7270.58,cashback,1,0,-0.084304
M000292,high,27455.71,28.6,2,0,3,44.0,18934.97,cashback,1,0,-0.054689
M000293,high,12651.43,43.4,3,1,1,37.5,11001.25,cashback,1,0,-0.17928
M000294,low,1192.16,44.3,0,0,3,55.6,822.18,sms,1,0,-0.046277
M000295,high,6029.3,76.6,1,0,1,17.7,5242.87,cashback,1,0,-0.11235
M000296,high,4702.6,37.5,2,0,1,43.4,4089.22,cashback,1,0,-0.045432
M000297,low,1275.59,81.1,3,1,2,104.1,981.22,sms,1,0,-0.087236
M000298,low,828.25,15.8,3,1,3,32.8,571.21,sms,1,1,-0.085877
M000299,low,412.55,70.0,2,0,4,81.8,257.84,sms,1,0,-0.044469
M000300,low,1401.27,81.7,2,0,1,25.9,1218.5,sms,1,0,-0.080731
M000301,high,4470.07,28.8,0,0,2,48.7,3438.51,cashback,1,0,-0.091925
M000302,high,5101.1,27.7,1,0,5,121.1,2914.92,cashback,1,0,-0.090284
M000303,low,1960.64,56.0,0,0,2,49.7,1508.18,sms,1,0,-0.055645
M000304,high,11755.46,41.9,1,0,1,15.0,10222.14,cashback,1,0,-0.075822
M000305,low,3482.13,42.0,1,0,2,27.3,2678.56,sms,1,0,-0.044063
M000306,low,3909.32,21.1,0,0,1,41.9,3399.41,sms,1,0,-0.065467
M000307,low,3469.86,75.5,1,0,1,34.7,3017.27,sms,1,0,-0.047385
M000308,low,3193.34,12.9,3,1,2,30.9,2456.42,sms,1,0,-0.079762
M000309,low,3247.97,39.8,2,0,1,24.7,2824.32,sms,1,0,-0.043791
M000310,high,39446.69,36.4,1,0,3,59.8,27204.62,cashback,1,0,-0.060476
M000311,low,847.02,39.2,2,0,3,64.4,584.15,sms,1,0,-0.052286
M000312,low,1940.27,72.8,2,0,2,131.0,1492.51,sms,1,1,-0.050463
M000313,low,704.02,31.6,2,0,3,20.1,485.53,sms,1,0,-0.049153
M000314,low,1747.86,31.0,2,0,1,31.2,1519.88,sms,1,0,-0.055364
M000315,high,7101.45,89.1,1,0,5,33.3,4057.97,cashback,1,0,-0.07105
M000316,low,1061.19,63.7,3,1,1,36.3,922.78,sms,1,1,-0.076474
M000317,low,2382.39,35.4,3,1,1,74.4,2071.65,sms,1,1,-0.078832
M000318,low,3081.63,0.0,3,1,2,84.1,2370.48,sms,1,1,-0.086615
M000319,low,2307.92,14.2,2,1,2,73.6,1775.32,sms,1,0,-0.085364
M000320,high,5754.62,22.8,1,1,2,57.2,4426.63,cashback,1,1,-0.184926
M000321,low,1123.99,49.3,1,0,1,74.2,977.38,sms,1,0,-0.055404
M000322,high,58082.58,14.7,2,1,4,44.1,36301.61,cashback,1,0,-0.184951
M000323,low,4084.07,79.6,3,1,2,63.0,3141.59,sms,1,1,-0.084178
