account_id,withdrawal_pct,treated_rm_contact,tenure_months,product_count,balance,account_value,churn_within_60d
W000173,8.84,0,21.8,3,2631.68,3815.93,1
W000174,40.01,1,42.7,5,2201.5,3852.62,0
W000175,2.53,0,14.3,5,26185.06,45823.85,1
W000176,26.92,0,49.6,1,7289.21,8382.59,0
W000177,34.57,1,113.8,3,10319.99,14963.98,0
W000178,4.42,0,32.2,1,3360.06,3864.07,0
W000179,10.52,0,64.9,1,6865.96,7895.85,0
W000180,37.52,1,22.3,2,4980.38,6474.49,0
W000181,49.7,1,53.1,2,15448.75,20083.38,0
W000182,14.81,0,23.9,3,2603.99,3775.79,0
W000183,25.35,0,82.6,4,11970.22,19152.36,1
W000184,54.53,1,53.6,1,12166.53,13991.5,0
W000185,57.2,1,74.1,1,1923.93,2212.52,0
W000186,51.62,1,119.8,2,9805.7,12747.4,1
W000187,20.14,0,26.9,1,2590.48,2979.05,0
W000188,16.54,0,42.1,6,2156.78,4097.88,0
W000189,39.35,1,45.6,3,2567.27,3722.54,0
W000190,35.04,1,122.4,3,10429.16,15122.28,0
W000191,38.65,1,63.5,3,9881.95,14328.83,0
W000192,31.1,1,61.3,1,10264.38,11804.04,0
W000193,53.59,1,8.2,4,6118.43,9789.5,0
W000194,29.85,0,48.9,4,15437.3,24699.68,0
W000195,34.36,1,87.1,1,30577.96,35164.66,0
W000196,47.27,1,56.6,1,13685.97,15738.86,0
W000197,26.72,0,24.4,1,6684.38,7687.04,0
W000198,5.48,0,246.9,3,14088.12,20427.78,0
W000199,34.0,1,154.4,3,9257.72,13423.69,0
W000200,33.19,1,103.1,5,11556.66,20224.15,0
W000201,44.66,1,61.8,2,11758.83,15286.48,0
W000202,60.1,1,50.0,5,4850.08,8487.63,0
W000203,49.98,1,71.5,4,3010.67,4817.07,0
W000204,50.81,1,35.1,1,7997.95,9197.64,0
W000205,34.62,1,74.7,4,20702.92,33124.68,0
W000206,32.26,1,79.1,1,6946.94,7988.98,0
W000207,72.55,1,41.6,3,13383.82,19406.54,0
W000208,26.82,0,211.2,1,44297.81,50942.48,0
W000209,18.65,0,26.6,4,6234.78,9975.65,0
W000210,13.89,0,29.7,1,10476.77,12048.28,0
W000211,48.51,1,89.0,1,6634.62,7629.81,0
W000212,17.26,0,71.4,2,1573.04,2044.95,0
W000213,0.0,0,6.6,1,5107.45,5873.57,0
W000214,37.06,1,81.7,1,34721.2,39929.38,0
W000215,29.6,0,35.5,2,11357.58,14764.85,0
W000216,32.75,1,51.4,1,1523.19,1751.67,0
W000217,29.66,0,40.8,3,3188.93,4623.95,0
W000218,0.0,0,49.9,1,2796.22,3215.65,0
W000219,0.0,0,75.3,1,2623.25,3016.74,0
W000220,39.27,1,119.8,5,2096.65,3669.13,0
W000221,22.99,0,37.7,2,10040.41,13052.53,0
W000222,0.0,0,92.1,2,12489.89,16236.86,0
W000223,0.0,0,67.3,5,6873.02,12027.78,0
W000224,42.69,1,114.0,2,4939.83,6421.78,0
W000225,28.63,0,52.0,2,14321.69,18618.19,0
W000226,17.69,0,51.3,2,4555.23,5921.79,0
W000227,15.35,0,78.7,2,5560.91,7229.19,0
W000228,0.0,0,49.8,2,3594.61,4673.0,0
W000229,22.32,0,133.7,1,32425.24,37289.03,0
W000230,30.67,1,15.5,3,9915.66,14377.7,0
W000231,56.2,1,39.0,5,7332.37,12831.64,0
W000232,31.61,1,104.6,4,6112.72,9780.36,0
W000233,25.93,0,80.8,1,7442.58,8558.97,0
W000234,30.72,1,112.5,4,6578.49,10525.59,0
W000235,44.05,1,147.2,1,12628.2,14522.43,0
W000236,51.88,1,120.4,2,4435.98,5766.77,0
W000237,40.1,1,100.4,4,4477.13,7163.41,0
W000238,61.37,1,41.0,2,51873.81,67435.95,0
W000239,27.92,0,75.3,1,1452.1,1669.92,0
W000240,10.93,0,85.7,2,8275.74,10758.46,0
W000241,21.29,0,37.3,4,7371.2,11793.92,1
W000242,13.8,0,40.2,1,21236.13,24421.55,0
W000243,46.54,1,151.0,5,6079.81,10639.67,0
W000244,55.14,1,37.6,5,5630.22,9852.88,1
W000245,25.95,0,88.0,1,4397.97,5057.66,0
W000246,43.21,1,34.3,3,13687.14,19846.36,0
W000247,52.94,1,97.4,2,6639.74,8631.66,0
W000248,16.62,0,62.5,4,9803.7,15685.93,1
W000249,35.12,1,153.1,2,20691.83,26899.38,0
W000250,28.15,0,67.7,2,1727.35,2245.56,0
W000251,49.98,1,34.0,4,8125.39,13000.63,0
W000252,54.24,1,42.1,3,7973.93,11562.2,0
W000253,22.86,0,99.1,1,18582.2,21369.52,0
W000254,20.2,0,20.6,2,6140.83,7983.08,1
W000255,30.46,1,58.5,2,3725.75,4843.48,0
W000256,32.07,1,201.0,5,6329.12,11075.97,0
W000257,39.18,1,58.8,3,19978.5,28968.82,0
W000258,20.63,0,45.3,3,8134.8,11795.45,0
W000259,27.85,0,81.1,2,3111.61,4045.09,0
W000260,1.61,0,100.7,1,4439.65,5105.59,0
W000261,30.21,1,57.6,1,30857.48,35486.1,0
W000262,0.0,0,97.2,2,42496.34,55245.25,0
W000263,9.34,0,158.7,2,27980.97,36375.26,0
W000264,32.2,1,20.0,4,3481.98,5571.16,0
W000265,22.84,0,86.2,1,7912.2,9099.03,0
W000266,0.0,0,39.5,4,5157.62,8252.19,0
W000267,0.0,0,116.7,2,3662.24,4760.92,0
W000268,45.08,1,71.8,2,16796.51,21835.46,0
W000269,18.63,0,40.6,1,5094.65,5858.85,0
W000270,34.89,1,71.7,1,35396.48,40705.95,0
W000271,12.81,0,160.2,4,1488.96,2382.33,0
W000272,41.4,1,140.4,4,3136.66,5018.66,0
W000273,24.17,0,17.9,1,15571.64,17907.39,0
W000274,45.91,1,75.2,3,4150.57,6018.33,0
W000275,15.73,0,35.8,5,1601.64,2802.87,0
W000276,47.38,1,82.8,4,14424.79,23079.67,1
W000277,10.65,0,54.3,2,8788.8,11425.44,0
W000278,39.34,1,20.2,1,7656.74,8805.25,0
W000279,41.51,1,34.9,2,3454.27,4490.55,0
W000280,38.71,1,118.6,3,5800.18,8410.26,0
W000281,13.42,0,19.5,2,10879.62,14143.5,0
W000282,0.0,0,12.5,1,1257.52,1446.15,0
W000283,30.55,1,50.1,1,2519.12,2896.99,0
W000284,0.0,0,95.7,5,8939.39,15643.94,0
W000285,0.0,0,103.8,4,7498.83,11998.13,0
W000286,41.57,1,60.5,3,9276.05,13450.27,0
W000287,34.23,1,48.6,1,2765.84,3180.72,0
W000288,32.24,1,38.1,2,3156.21,4103.07,0
W000289,2.94,0,86.8,4,40577.69,64924.3,0
W000290,23.99,0,55.6,1,7792.72,8961.63,0
W000291,28.6,0,22.0,3,6800.61,9860.89,0
W000292,39.38,1,91.8,4,15333.55,24533.68,0
W000293,19.38,0,110.2,2,5587.95,7264.34,0
W000294,37.8,1,85.3,2,3249.21,4223.97,0
W000295,13.49,0,125.2,2,6527.47,8485.71,0
W000296,20.92,0,49.2,6,7454.52,14163.59,0
W000297,28.9,0,50.3,3,789.95,1145.43,0
W000298,20.32,0,8.8,3,8762.22,12705.22,0
W000299,10.12,0,70.7,2,23288.59,30275.16,0
W000300,30.73,1,26.1,2,2872.17,3733.82,0
W000301,23.13,0,36.5,1,7191.6,8270.34,0
W000302,33.25,1,27.8,1,5756.55,6620.03,0
W000303,34.01,1,9.2,1,3018.39,3471.15,0
W000304,20.71,0,54.6,1,1464.13,1683.75,0
W000305,31.77,1,140.1,1,8430.25,9694.79,0
W000306,26.89,0,91.5,2,8756.86,11383.92,0
W000307,22.87,0,51.8,2,4953.2,6439.17,0
W000308,45.95,1,26.1,1,9292.73,10686.63,0
W000309,10.59,0,52.0,3,6179.53,8960.31,0
W000310,12.16,0,107.4,3,14590.96,21156.89,0
W000311,44.62,1,84.0,4,12801.01,20481.61,0
W000312,43.1,1,94.8,5,3952.92,6917.61,0
W000313,31.73,1,18.0,3,11859.11,17195.71,0
W000314,23.53,0,16.5,4,17860.42,28576.67,0
W000315,4.74,0,74.6,1,5438.61,6254.41,0
W000316,35.93,1,43.0,1,4432.04,5096.85,0
W000317,56.23,1,5.5,1,6387.59,7345.73,1
W000318,17.92,0,13.3,2,17476.23,22719.1,0
W000319,27.87,0,30.6,2,4323.08,5620.0,0
W000320,35.59,1,36.0,2,3317.29,4312.47,0
W000321,11.26,0,56.5,2,8277.63,10760.92,0
W000322,24.49,0,83.8,2,5932.26,7711.94,0
W000323,10.93,0,34.2,2,8318.42,10813.95,0
W000324,29.46,0,14.2,2,1928.99,2507.68,0
W000325,47.45,1,81.0,3,5842.75,8471.99,0
W000326,31.3,1,20.6,1,2403.27,2763.76,0
W000327,23.92,0,17.5,5,1483.22,2595.64,0
W000328,34.0,1,71.8,1,3303.0,3798.45,0
W000329,6.63,0,99.3,1,6085.67,6998.52,0
W000330,51.77,1,61.3,2,14221.5,18487.94,0
W000331,47.12,1,92.6,6,1941.94,3689.68,0
W000332,29.36,0,85.8,2,1634.24,2124.52,0
W000333,35.82,1,50.9,1,2633.91,3028.99,0
W000334,35.29,1,118.9,1,7606.23,8747.16,0
W000335,27.08,0,78.1,1,42317.59,48665.23,0
W000336,32.74,1,16.6,3,2683.9,3891.66,1
W000337,8.87,0,34.0,2,25574.74,33247.17,0
W000338,24.36,0,11.2,6,2325.2,4417.88,0
W000339,25.96,0,72.7,2,10383.83,13498.98,0
W000340,32.84,1,55.3,4,13562.58,21700.13,0
W000341,22.95,0,86.1,2,3536.11,4596.95,0
W000342,23.05,0,36.3,2,4268.51,5549.06,0
W000343,9.94,0,47.1,3,1960.74,2843.07,0
W000344,48.7,1,190.8,3,3852.61,5586.29,0
W000345,44.4,1,94.6,3,2376.08,3445.32,0
W000346,27.26,0,51.4,1,11519.33,13247.23,0
W000347,41.66,1,27.9,2,8411.98,10935.58,0
W000348,35.61,1,83.4,3,5458.57,7914.92,0
W000349,34.61,1,78.8,4,17697.56,28316.1,0
W000350,58.62,1,199.1,1,7220.49,8303.56,0
W000351,0.0,0,92.0,5,8628.14,15099.24,0
W000352,38.65,1,27.3,3,6335.86,9187.0,0
W000353,10.4,0,161.8,1,22895.78,26330.15,0
W000354,17.13,0,56.5,5,1228.43,2149.74,0
W000355,29.75,0,54.7,2,4642.91,6035.78,1
W000356,12.0,0,46.5,2,13837.6,17988.88,0
W000357,20.56,0,45.3,4,16050.92,25681.48,0
W000358,0.0,0,96.5,6,8666.76,16466.85,0
W000359,43.4,1,38.5,5,11065.07,19363.88,0
W000360,42.61,1,23.1,1,4342.59,4993.98,0
W000361,11.75,0,30.0,4,10891.3,17426.08,0
W000362,24.23,0,98.0,2,3322.22,4318.89,0
W000363,47.28,1,53.5,2,7306.92,9499.0,0
W000364,32.52,1,116.1,1,11656.35,13404.8,0
W000365,57.34,1,21.6,1,33233.29,38218.28,0
W000366,53.04,1,3.6,4,8464.79,13543.67,1
W000367,0.0,0,57.0,3,4440.62,6438.9,0
W000368,31.71,1,26.9,3,8931.1,12950.09,0
W000369,12.53,0,92.2,1,1713.59,1970.63,0
W000370,43.51,1,108.7,2,44394.72,57713.13,0
W000371,31.68,1,46.1,5,1513.03,2647.81,0
W000372,7.4,0,100.4,6,5223.08,9923.84,0
W000373,29.04,0,91.2,1,5820.23,6693.27,1
W000374,0.0,0,61.2,2,5015.29,6519.88,0
W000375,22.43,0,67.0,1,5577.05,6413.61,0
W000376,14.04,0,24.7,4,2367.52,3788.04,0
W000377,23.48,0,29.6,4,3708.71,5933.94,0
W000378,30.15,1,93.8,2,7558.55,9826.12,0
W000379,21.15,0,16.2,1,3499.34,4024.24,0
W000380,9.45,0,197.5,1,968.94,1114.28,0
W000381,2.99,0,78.0,1,2997.12,3446.69,0
W000382,25.01,0,49.1,3,5441.17,7889.7,0
W000383,45.09,1,98.7,1,9995.15,11494.42,0
W000384,15.4,0,30.8,5,4325.24,7569.18,0
W000385,9.63,0,24.0,4,5377.86,8604.57,0
W000386,53.01,1,106.5,3,9407.77,13641.27,1
W000387,9.53,0,68.0,1,1833.82,2108.89,0
W000388,21.41,0,38.6,3,4336.44,6287.83,0
W000389,46.51,1,76.5,6,10815.44,20549.33,0
W000390,36.73,1,85.9,3,35858.5,51994.82,0
W000391,0.0,0,11.4,1,9390.44,10799.0,1
W000392,50.2,1,75.0,4,5736.14,9177.83,0
W000393,38.96,1,67.8,1,8334.66,9584.86,0
W000394,50.7,1,53.3,1,16253.92,18692.01,0
W000395,40.86,1,18.1,4,1804.43,2887.09,0
W000396,62.46,1,100.6,2,8026.63,10434.62,1
W000397,21.78,0,61.2,2,13740.0,17862.01,0
W000398,17.66,0,50.8,4,6803.37,10885.39,0
W000399,30.04,1,25.5,3,2398.09,3477.23,0
W000400,0.0,0,27.8,4,4022.35,6435.75,0
W000401,19.17,0,40.7,2,3569.92,4640.9,0
W000402,51.75,1,97.9,2,3013.66,3917.76,0
W000403,19.2,0,26.9,1,7116.99,8184.53,0
W000404,16.48,0,40.9,1,14574.03,16760.14,0
W000405,42.92,1,12.0,3,30517.42,44250.25,0
W000406,26.58,0,9.2,2,2224.43,2891.76,1
W000407,15.35,0,19.9,2,16732.71,21752.53,0
W000408,22.07,0,179.0,2,12698.26,16507.74,0
W000409,51.94,1,42.6,4,12568.75,20110.01,1
W000410,47.49,1,70.5,1,7688.91,8842.25,0
W000411,25.93,0,68.1,3,3208.22,4651.92,0
W000412,11.42,0,9.6,1,3982.8,4580.22,0
W000413,23.26,0,81.3,1,20220.61,23253.7,0
W000414,22.13,0,68.5,1,2031.04,2335.69,1
W000415,38.04,1,85.0,2,5046.57,6560.54,0
W000416,26.07,0,80.2,3,3295.92,4779.09,0
W000417,16.05,0,63.6,1,4832.54,5557.43,0
W000418,39.25,1,37.9,4,14449.1,23118.56,0
W000419,42.74,1,24.4,2,25269.96,32850.95,0
W000420,44.24,1,90.9,4,17636.65,28218.64,0
W000421,9.32,0,18.4,1,2323.75,2672.31,0
W000422,0.9,0,19.1,1,45880.26,52762.3,0
W000423,30.78,1,57.3,1,5560.97,6395.12,0
W000424,19.81,0,77.5,4,2161.41,3458.25,0
W000425,30.25,1,81.4,4,7743.41,12389.45,0
W000426,12.43,0,17.9,2,6043.43,7856.46,0
W000427,41.31,1,39.6,2,17110.78,22244.01,0
W000428,60.31,1,35.8,1,2447.07,2814.13,0
W000429,21.72,0,60.0,5,11806.09,20660.65,1
W000430,22.33,0,52.5,1,31122.66,35791.06,0
W000431,43.49,1,67.6,6,6827.83,12972.88,0
W000432,0.0,0,29.1,1,8526.14,9805.06,0
W000433,2.67,0,115.6,3,5198.22,7537.42,0
W000434,16.69,0,39.8,3,12601.8,18272.61,0
W000435,13.58,0,25.1,1,12445.22,14312.0,0
W000436,52.59,1,81.1,2,14729.62,19148.5,0
W000437,28.35,0,179.7,2,9004.38,11705.69,0
W000438,0.0,0,31.7,2,5225.36,6792.96,1
W000439,51.96,1,1.5,2,40345.75,52449.48,0
W000440,61.91,1,43.8,4,5120.34,8192.54,0
W000441,30.79,1,54.9,5,10416.59,18229.03,0
W000442,15.9,0,78.6,3,6053.39,8777.42,0
W000443,4.54,0,52.1,1,12027.7,13831.86,0
W000444,7.04,0,38.9,2,2265.58,2945.25,0
W000445,55.05,1,37.7,3,2974.64,4313.22,0
W000446,4.4,0,89.6,3,8660.59,12557.85,0
W000447,19.52,0,78.9,1,26671.37,30672.07,0
W000448,5.64,0,55.4,3,8663.82,12562.53,0
W000449,8.37,0,61.4,3,3359.69,4871.56,0
W000450,20.83,0,53.4,4,70571.11,112913.77,0
W000451,1.81,0,125.9,5,4859.73,8504.52,0
W000452,46.95,1,21.5,4,12339.31,19742.9,0
W000453,29.92,0,61.1,3,10653.46,15447.51,0
W000454,34.1,1,103.5,3,9247.43,13408.78,0
W000455,39.06,1,38.0,2,1291.09,1678.42,0
W000456,8.05,0,93.2,1,12737.26,14647.85,0
W000457,41.08,1,82.8,2,7830.83,10180.08,0
W000458,12.7,0,88.1,3,6268.54,9089.39,0
W000459,0.92,0,92.4,1,2322.39,2670.74,0
W000460,24.76,0,67.1,2,2220.26,2886.34,0
W000461,47.83,1,22.8,3,4546.4,6592.29,1
W000462,7.3,0,80.5,5,5236.47,9163.83,0
W000463,4.7,0,40.4,3,4534.59,6575.16,0
W000464,56.99,1,27.2,6,5089.63,9670.3,0
W000465,12.7,0,60.7,2,9197.79,11957.13,0
W000466,41.82,1,24.1,1,14520.44,16698.5,0
W000467,56.81,1,69.4,1,1743.73,2005.29,0
W000468,8.58,0,50.9,2,11156.57,14503.54,0
W000469,43.92,1,40.0,1,3873.61,4454.65,0
W000470,74.38,1,39.0,4,11533.79,18454.06,0
W000471,26.06,0,26.1,4,1647.63,2636.21,0
W000472,60.6,1,89.0,3,2976.79,4316.35,0
W000473,34.19,1,53.7,2,9533.81,12393.96,0
W000474,33.15,1,98.3,1,3571.44,4107.16,0
W000475,58.87,1,87.3,2,2676.68,3479.68,0
W000476,9.69,0,36.0,3,17781.7,25783.46,0
W000477,42.1,1,33.2,2,6776.94,8810.02,0
W000478,44.47,1,28.3,3,12586.47,18250.38,0
W000479,15.78,0,56.6,2,1590.08,2067.11,0
W000480,49.4,1,31.5,4,10057.89,16092.62,0
W000481,1.6,0,146.0,4,1335.03,2136.04,0
W000482,0.0,0,33.0,2,35851.6,46607.08,0
W000483,28.01,0,17.7,1,7496.47,8620.94,0
W000484,0.0,0,21.6,1,8001.8,9202.07,0
W000485,39.42,1,14.2,4,10789.76,17263.62,0
W000486,7.93,0,94.9,1,7752.97,8915.91,0
W000487,47.46,1,66.4,6,3749.02,7123.13,0
W000488,0.0,0,87.2,6,2303.69,4377.0,0
W000489,31.72,1,29.5,3,6387.7,9262.16,0
W000490,21.72,0,68.3,2,1904.6,2475.98,0
W000491,25.56,0,100.3,2,6764.91,8794.38,0
W000492,35.91,1,109.3,2,16919.43,21995.26,0
W000493,42.44,1,145.0,2,2393.15,3111.1,0
W000494,25.05,0,50.0,3,11199.6,16239.43,0
W000495,29.72,0,59.2,3,3715.91,5388.07,0
