account_id,region_id,tenure_months,product_count,balance,balance_tier,liquidity_need_score,dd_stability_score,engagement_score,dormancy_streak_months,value_score,value_group,churn_mode
A000089,R09,119.8,1,952.5,0,63.1,66.8,51.1,0,1095.37,low,none
A000090,R00,38.1,2,10429.08,4,33.9,87.5,72.5,0,13557.8,high,none
A000091,R03,70.4,3,6292.42,3,47.0,69.6,12.1,0,9124.0,high,none
A000092,R07,59.6,2,1337.25,0,28.7,81.3,79.4,0,1738.43,low,none
A000093,R03,15.5,2,9921.96,4,23.9,37.1,52.2,0,12898.54,high,dd_stop
A000094,R05,149.8,4,314.02,0,52.6,40.4,50.6,0,502.43,low,dormant
A000095,R00,38.9,4,3534.3,2,66.8,36.9,40.6,0,5654.88,high,dd_stop
A000096,R02,20.3,2,40209.89,4,47.2,71.9,66.0,1,52272.86,high,none
A000097,R02,80.9,2,33095.71,4,55.8,38.5,46.6,0,43024.43,high,none
A000098,R05,52.1,4,2596.35,1,65.0,58.9,60.3,2,4154.16,low,none
A000099,R09,66.3,1,66666.97,4,20.5,63.2,49.9,0,76667.02,high,none
A000100,R02,55.8,2,6946.49,3,60.1,49.2,74.0,0,9030.44,high,none
A000101,R01,6.5,3,2920.94,2,53.1,65.6,21.5,0,4235.37,low,none
A000102,R02,26.2,2,4624.31,2,37.5,47.4,43.9,0,6011.6,high,none
A000103,R08,25.4,3,2237.75,1,61.2,84.2,63.5,1,3244.74,low,none
A000104,R03,95.7,1,8822.76,3,32.9,69.3,67.7,2,10146.17,high,none
A000105,R06,53.4,2,2594.58,1,45.5,47.9,52.4,1,3372.96,low,none
A000106,R05,73.3,5,5022.56,3,62.3,53.7,43.9,0,8789.48,high,none
A000107,R05,40.7,5,2798.05,2,56.9,0.0,59.9,1,4896.58,low,none
A000108,R09,75.7,3,592.46,0,45.3,57.8,64.3,0,859.06,low,none
A000109,R08,46.6,5,1876.76,1,47.8,7.5,17.4,0,3284.33,low,none
A000110,R04,44.2,4,3303.58,2,53.8,32.5,40.6,0,5285.73,high,none
A000111,R04,59.3,1,3368.68,2,38.4,74.9,38.5,1,3873.98,low,none
A000112,R01,55.8,3,9340.06,4,43.4,61.3,21.3,0,13543.09,high,none
A000113,R04,219.8,6,7044.87,3,2.5,56.7,61.2,0,13385.26,high,none
A000114,R05,25.9,3,2499.42,1,63.5,47.3,53.1,1,3624.16,low,none
A000115,R03,13.9,4,2328.22,1,85.0,33.5,81.0,0,3725.15,low,none
A000116,R04,65.3,3,4606.07,2,59.8,30.7,57.0,1,6678.8,high,none
A000117,R05,29.0,1,2731.06,1,40.4,57.6,51.1,0,3140.71,low,dd_stop
A000118,R03,5.6,1,2263.96,1,63.5,28.5,38.4,0,2603.55,low,none
A000119,R06,21.2,3,1538.87,1,76.3,50.9,60.5,1,2231.36,low,none
A000120,R05,190.7,2,2505.07,1,9.4,53.5,43.0,0,3256.59,low,none
A000121,R01,25.4,2,6640.92,3,49.6,44.8,28.2,2,8633.2,high,none
A000122,R01,9.7,2,1232.52,0,74.1,34.3,59.9,0,1602.28,low,none
A000123,R06,183.4,1,6474.02,3,33.1,53.7,23.5,0,7445.13,high,none
A000124,R03,20.5,2,73641.39,4,22.9,35.1,23.6,1,95733.8,high,none
A000125,R01,260.8,2,2128.23,1,34.2,52.4,54.6,0,2766.7,low,none
A000126,R08,39.4,2,2853.07,2,45.7,51.0,50.3,0,3708.99,low,none
A000127,R08,150.2,5,2289.99,1,59.9,90.7,66.5,2,4007.49,low,none
A000128,R01,43.4,5,5309.34,3,53.3,63.7,67.2,1,9291.34,high,none
A000129,R05,70.7,1,2634.1,1,36.1,29.8,70.3,0,3029.22,low,none
A000130,R02,47.3,1,2846.28,2,61.2,70.6,36.9,0,3273.23,low,dormant
A000131,R00,43.7,1,682.72,0,58.1,32.7,29.1,0,785.13,low,none
A000132,R06,61.7,3,2800.68,2,60.0,88.4,60.9,0,4060.98,low,none
A000133,R03,72.5,2,1012.67,0,47.6,41.7,36.1,0,1316.47,low,none
A000134,R04,58.4,1,1621.55,1,60.8,87.0,40.6,0,1864.78,low,none
A000135,R04,54.3,3,13521.0,4,68.0,54.9,22.7,1,19605.46,high,none
A000136,R04,29.2,2,1406.39,0,64.0,35.2,60.5,0,1828.3,low,none
A000137,R01,48.6,2,2443.57,1,53.5,32.7,34.1,0,3176.65,low,none
A000138,R00,138.5,3,6957.53,3,55.5,74.0,82.2,0,10088.41,high,none
A000139,R07,28.2,1,2708.35,1,57.4,51.2,67.5,1,3114.6,low,dd_stop
A000140,R00,62.9,4,6887.32,3,79.6,39.1,26.3,1,11019.71,high,none
A000141,R02,112.4,1,23599.7,4,61.5,56.4,69.2,0,27139.66,high,none
A000142,R01,72.9,2,6018.53,3,60.5,71.8,16.6,1,7824.09,high,none
A000143,R04,96.4,5,923.68,0,81.9,71.0,81.2,0,1616.45,low,none
A000144,R06,20.3,5,10753.75,4,61.4,84.6,70.3,1,18819.07,high,dormant
A000145,R07,63.0,3,2497.26,1,32.8,82.2,37.7,0,3621.03,low,none
A000146,R01,41.9,3,469.92,0,49.7,70.3,8.7,0,681.39,low,none
A000147,R03,43.2,2,1021.62,0,9.3,50.3,42.8,0,1328.11,low,none
A000148,R09,131.2,1,2861.12,2,26.2,46.4,41.8,0,3290.29,low,none
A000149,R09,43.7,2,7631.15,3,0.0,11.6,65.4,0,9920.49,high,dd_stop
A000150,R07,64.4,2,2410.14,1,86.5,84.0,23.2,0,3133.18,low,none
A000151,R09,9.8,5,4874.93,3,92.9,30.4,100.0,0,8531.12,high,none
A000152,R08,150.1,1,2227.63,1,74.8,73.8,63.0,0,2561.78,low,none
A000153,R05,92.8,3,28000.2,4,66.0,59.5,40.3,1,40600.28,high,none
A000154,R05,50.0,4,1672.52,1,41.3,64.5,54.4,0,2676.04,low,none
A000155,R03,40.5,1,16562.33,4,14.1,72.6,31.3,1,19046.68,high,none
A000156,R02,77.9,3,3544.19,2,39.1,36.3,61.7,0,5139.08,high,none
A000157,R03,111.5,2,5669.94,3,47.5,35.5,12.8,0,7370.92,high,none
A000158,R01,151.4,1,222.63,0,30.5,52.8,64.5,0,256.02,low,none
A000159,R06,90.8,3,21069.36,4,57.5,54.9,34.2,0,30550.58,high,none
A000160,R03,54.9,2,1259.42,0,41.7,60.4,23.5,0,1637.25,low,none
A000161,R03,100.0,2,7733.05,3,18.2,56.7,63.1,1,10052.97,high,dormant
A000162,R07,88.3,1,1786.2,1,80.9,39.8,29.8,0,2054.13,low,none
A000163,R06,55.0,2,817.99,0,21.8,56.0,52.1,0,1063.39,low,none
A000164,R06,86.6,1,9814.16,4,15.7,60.8,40.4,0,11286.28,high,none
A000165,R01,85.5,3,2002.86,1,42.8,78.3,56.1,0,2904.15,low,none
A000166,R04,49.7,4,3208.98,2,64.4,80.3,34.3,0,5134.36,high,none
A000167,R01,34.8,1,2607.49,1,67.2,48.4,72.1,1,2998.62,low,none
A000168,R04,80.6,1,490.57,0,72.4,67.6,20.1,1,564.15,low,none
A000169,R01,22.3,5,959.59,0,27.0,84.4,39.0,0,1679.29,low,none
A000170,R01,18.2,2,377.23,0,61.3,44.8,29.3,0,490.4,low,none
A000171,R05,65.1,3,1314.49,0,31.2,35.5,64.4,1,1906.0,low,none
A000172,R09,79.2,1,20275.48,4,76.1,45.7,39.6,0,23316.8,high,none
A000173,R04,64.8,1,13813.12,4,29.7,43.1,72.8,0,15885.08,high,none
A000174,R06,69.8,2,29667.33,4,59.0,75.1,42.5,1,38567.53,high,none
A000175,R04,78.3,3,10794.57,4,38.3,77.4,34.1,0,15652.12,high,none
A000176,R06,131.5,2,5143.78,3,71.7,86.8,52.1,0,6686.91,high,none
A000177,R02,91.8,4,18762.21,4,33.6,61.2,58.2,1,30019.53,high,none
A000178,R08,90.0,1,2147.37,1,38.8,72.5,45.8,0,2469.48,low,none
A000179,R08,61.7,2,19252.5,4,67.1,57.7,65.3,0,25028.25,high,none
A000180,R01,63.3,2,3964.58,2,22.6,95.3,60.0,1,5153.95,high,dormant
A000181,R06,46.8,1,3736.59,2,43.4,75.1,22.3,0,4297.08,low,none
A000182,R01,68.3,2,3845.18,2,57.7,65.6,57.3,0,4998.74,high,none
A000183,R01,21.3,2,16561.14,4,49.5,58.2,51.4,1,21529.49,high,none
A000184,R00,131.9,2,35031.48,4,59.4,60.8,61.4,0,45540.92,high,none
A000185,R08,26.7,5,909.13,0,73.1,64.1,47.3,0,1590.98,low,none
A000186,R09,91.7,2,11008.37,4,50.7,34.0,39.2,0,14310.89,high,dormant
A000187,R00,121.4,4,2752.26,1,39.9,24.4,51.1,0,4403.61,low,none
A000188,R01,91.5,3,3517.42,2,58.9,88.5,38.0,1,5100.27,high,none
A000189,R09,201.5,4,3925.75,2,56.2,45.4,50.4,1,6281.2,high,none
A000190,R06,7.0,3,10853.09,4,67.9,45.3,21.3,0,15736.99,high,none
A000191,R06,36.6,4,833.48,0,68.7,44.0,62.5,0,1333.57,low,none
A000192,R09,120.1,1,820.63,0,66.2,67.8,49.5,1,943.72,low,none
A000193,R02,17.5,1,3962.26,2,49.0,36.6,60.4,1,4556.59,low,dd_stop
A000194,R06,27.4,3,729.78,0,21.8,29.1,94.7,0,1058.18,low,none
A000195,R02,75.0,1,4470.66,2,30.2,51.3,55.4,0,5141.26,high,none
A000196,R05,54.4,2,10980.33,4,62.2,29.9,55.4,0,14274.43,high,none
A000197,R09,71.9,1,5843.93,3,76.7,50.1,83.8,0,6720.53,high,none
A000198,R06,57.7,3,5573.29,3,53.7,41.3,61.8,1,8081.27,high,none
A000199,R01,61.5,3,1460.79,1,49.0,68.2,31.6,0,2118.14,low,dormant
A000200,R05,29.7,2,22430.63,4,47.0,66.3,48.2,1,29159.82,high,none
A000201,R00,60.2,2,15108.79,4,23.4,6.9,68.2,0,19641.43,high,none
A000202,R08,38.6,3,15759.43,4,29.5,58.4,53.7,0,22851.17,high,none
A000203,R03,42.7,4,6955.96,3,48.4,7.7,28.6,0,11129.54,high,none
A000204,R09,90.9,2,1238.68,0,59.2,67.9,41.2,1,1610.29,low,none
A000205,R06,16.7,1,883.07,0,43.9,58.3,40.6,0,1015.54,low,dd_stop
A000206,R06,4.2,3,13659.7,4,40.9,86.4,65.7,0,19806.56,high,none
A000207,R09,86.5,2,2138.86,1,45.3,93.6,51.9,0,2780.52,low,none
A000208,R02,60.2,2,779.05,0,50.4,43.4,62.4,1,1012.77,low,dormant
A000209,R05,121.3,2,247.02,0,39.4,49.3,56.4,0,321.13,low,none
A000210,R00,28.0,3,11793.82,4,50.0,44.0,52.9,0,17101.03,high,none
A000211,R08,48.6,5,12485.71,4,12.9,96.3,42.7,0,21850.0,high,none
A000212,R04,55.9,1,42076.89,4,43.2,70.4,51.5,1,48388.42,high,none
A000213,R08,32.7,1,4632.79,2,41.9,59.4,54.0,0,5327.71,high,none
A000214,R08,25.1,6,4074.09,2,30.0,35.8,51.4,1,7740.78,high,none
A000215,R04,89.4,6,393.88,0,63.8,28.0,29.6,0,748.38,low,none
A000216,R07,15.2,2,11734.72,4,66.7,52.5,34.7,0,15255.13,high,large_withdrawal
A000217,R07,21.7,2,2951.42,2,24.1,73.8,47.5,1,3836.85,low,none
A000218,R02,47.4,3,3483.08,2,28.8,49.4,60.1,1,5050.46,high,none
A000219,R04,96.4,3,1487.02,1,79.7,35.9,31.1,1,2156.17,low,none
A000220,R02,34.4,3,3322.88,2,40.8,78.4,29.2,1,4818.18,low,none
A000221,R01,31.0,2,5221.67,3,44.2,51.2,55.7,0,6788.18,high,none
A000222,R03,45.4,3,2477.19,1,83.1,64.6,54.4,0,3591.92,low,none
A000223,R01,67.4,4,766.45,0,47.7,71.9,47.8,0,1226.32,low,none
A000224,R04,40.2,2,9027.32,3,58.9,65.1,64.9,0,11735.52,high,none
A000225,R09,104.6,3,6111.45,3,56.7,29.5,42.3,1,8861.6,high,none
A000226,R01,107.6,2,2669.17,1,67.4,63.2,36.9,1,3469.93,low,none
A000227,R05,47.4,5,17272.45,4,63.1,4.4,45.0,0,30226.8,high,none
A000228,R02,168.1,2,2787.07,2,48.7,50.8,18.1,1,3623.19,low,none
A000229,R06,55.0,4,4536.93,2,40.9,69.6,36.4,0,7259.09,high,none
A000230,R02,105.2,1,318.75,0,82.5,41.8,49.5,0,366.56,low,none
A000231,R04,66.1,3,1481.71,1,49.8,49.6,30.1,0,2148.48,low,dormant
A000232,R04,65.2,1,5723.51,3,61.1,57.5,46.5,0,6582.04,high,none
A000233,R04,12.0,3,2676.76,1,84.0,43.6,64.6,0,3881.3,low,none
A000234,R01,20.1,2,6970.7,3,67.0,32.2,3.1,2,9061.91,high,dormant
A000235,R09,41.8,3,336.45,0,82.8,1.3,47.3,1,487.85,low,dd_stop
A000236,R01,107.0,2,7305.23,3,12.9,96.6,25.9,0,9496.8,high,none
A000237,R08,66.7,4,3064.03,2,43.7,50.7,31.4,1,4902.45,low,none
A000238,R08,42.1,1,16598.01,4,19.8,58.6,43.7,0,19087.72,high,dormant
A000239,R07,79.7,1,3190.0,2,41.6,52.2,30.3,0,3668.5,low,none
A000240,R04,104.4,2,7065.04,3,69.4,32.8,47.9,0,9184.55,high,none
A000241,R05,52.5,2,6941.42,3,58.1,40.7,59.0,0,9023.84,high,none
A000242,R00,61.3,1,10365.92,4,44.5,46.5,64.2,1,11920.81,high,none
A000243,R04,55.8,2,5212.16,3,50.4,80.0,55.1,1,6775.81,high,none
A000244,R05,50.1,3,3714.62,2,65.2,62.0,24.6,1,5386.19,high,none
A000245,R09,27.8,3,2953.01,2,57.0,37.6,60.3,0,4281.86,low,none
A000246,R03,26.0,1,11800.55,4,48.8,38.2,69.0,0,13570.63,high,none
A000247,R00,79.4,2,2603.22,1,78.0,71.6,24.0,0,3384.18,low,none
A000248,R09,105.7,2,1956.02,1,90.6,32.4,80.0,1,2542.82,low,none
A000249,R01,42.1,4,8355.56,3,16.0,67.5,38.5,0,13368.89,high,none
A000250,R00,41.3,2,12733.38,4,61.7,49.9,27.8,1,16553.39,high,none
A000251,R07,8.8,3,20352.77,4,78.4,48.9,38.3,0,29511.52,high,none
A000252,R01,7.1,4,22709.34,4,54.3,25.4,41.2,0,36334.95,high,none
A000253,R00,123.7,1,4489.93,2,23.0,65.6,14.3,0,5163.42,high,none
A000254,R01,29.3,3,7499.78,3,48.6,71.4,35.3,1,10874.68,high,none
A000255,R05,210.3,1,37781.82,4,55.5,3.5,83.2,0,43449.09,high,none
A000256,R07,33.6,4,11408.85,4,0.0,86.6,57.6,1,18254.17,high,dormant
A000257,R01,12.4,2,21868.39,4,51.2,49.1,42.2,0,28428.91,high,dd_stop
A000258,R07,56.2,3,10692.0,4,67.7,75.2,51.7,0,15503.41,high,none
A000259,R02,88.7,5,1577.25,1,95.0,57.4,30.1,0,2760.19,low,none
A000260,R06,82.2,1,2846.34,2,33.6,81.5,54.4,0,3273.29,low,none
A000261,R01,94.7,3,631.81,0,33.5,100.0,100.0,0,916.13,low,none
A000262,R05,23.2,2,2867.68,2,29.9,55.2,58.5,0,3727.98,low,none
A000263,R06,121.8,3,1954.71,1,43.9,81.5,14.9,0,2834.33,low,dormant
A000264,R00,126.5,1,1774.88,1,63.9,57.2,45.6,0,2041.11,low,none
A000265,R04,130.0,1,2867.27,2,79.9,66.9,54.0,1,3297.36,low,none
A000266,R05,62.8,4,1437.76,0,51.0,17.5,1.1,0,2300.41,low,none
A000267,R00,39.6,2,994.14,0,85.8,54.8,81.2,0,1292.38,low,none
A000268,R07,36.9,3,11207.43,4,97.6,49.5,49.4,1,16250.77,high,none
A000269,R01,12.3,3,1890.7,1,52.4,43.1,0.0,1,2741.51,low,none
A000270,R00,34.2,1,2742.3,1,66.5,51.6,46.1,0,3153.64,low,dd_stop
A000271,R05,3.8,2,14183.43,4,33.9,54.7,45.0,2,18438.46,high,none
A000272,R02,10.7,1,1585.1,1,85.2,44.2,31.0,0,1822.86,low,none
A000273,R02,62.3,1,8506.34,3,53.4,59.2,65.9,0,9782.29,high,none
A000274,R07,43.2,4,910.16,0,56.9,38.7,59.9,0,1456.26,low,none
A000275,R04,60.4,3,4198.82,2,62.3,6.3,100.0,1,6088.29,high,dd_stop
A000276,R06,84.2,2,7396.42,3,74.8,27.5,21.1,0,9615.34,high,none
A000277,R03,68.4,3,1899.19,1,66.2,0.0,70.0,0,2753.82,low,none
A000278,R07,64.4,3,11449.09,4,37.3,33.5,70.0,1,16601.18,high,none
A000279,R09,49.0,1,6472.94,3,37.6,68.3,29.2,0,7443.88,high,dormant
A000280,R01,28.4,2,5385.98,3,26.8,59.6,22.4,0,7001.77,high,none
A000281,R05,17.7,3,12433.91,4,34.9,57.5,82.6,1,18029.17,high,none
A000282,R07,35.0,2,9338.84,4,82.3,74.1,21.1,0,12140.49,high,none
A000283,R01,49.6,2,3590.17,2,62.9,28.4,31.2,0,4667.22,low,none
A000284,R07,54.2,2,695.34,0,43.7,42.0,29.6,0,903.95,low,none
A000285,R09,94.8,3,30208.74,4,58.0,73.9,54.9,0,43802.67,high,none
A000286,R08,46.4,3,2065.03,1,100.0,36.6,31.8,2,2994.29,low,none
A000287,R03,76.2,3,278.13,0,35.9,73.8,33.0,0,403.29,low,none
A000288,R07,14.1,4,22593.62,4,61.5,57.5,35.1,0,36149.8,high,dormant
A000289,R00,62.9,1,7214.7,3,47.3,46.1,76.3,0,8296.91,high,none
A000290,R06,59.9,1,3801.0,2,80.3,51.4,3.8,2,4371.15,low,none
A000291,R08,121.9,4,3426.39,2,10.3,46.5,72.2,0,5482.23,high,none
A000292,R04,43.2,1,9799.85,4,16.0,44.4,58.3,1,11269.83,high,none
A000293,R02,41.8,1,42493.14,4,50.7,42.6,96.2,0,48867.11,high,none
A000294,R05,84.6,1,2407.98,1,61.6,59.1,28.4,0,2769.17,low,none
A000295,R08,18.9,2,1495.76,1,57.8,68.7,24.4,0,1944.49,low,none
A000296,R02,61.8,2,2862.56,2,82.0,46.9,25.5,0,3721.33,low,none
A000297,R09,18.1,2,803.29,0,59.1,57.8,15.8,0,1044.28,low,none
A000298,R05,157.5,2,3123.41,2,14.3,48.6,42.0,0,4060.44,low,none
A000299,R06,37.7,5,14526.82,4,40.8,65.5,31.1,1,25421.93,high,none
A000300,R02,17.0,1,4493.89,2,27.6,40.2,40.0,0,5167.98,high,none
A000301,R07,34.8,2,5980.44,3,4.7,38.0,19.8,0,7774.57,high,none
A000302,R09,62.1,2,11126.75,4,40.7,71.4,62.9,1,14464.77,high,none
A000303,R07,74.6,3,2687.57,1,31.1,64.4,66.6,0,3896.98,low,dd_stop
A000304,R02,117.8,4,1033.9,0,41.1,63.9,38.3,0,1654.24,low,none
A000305,R07,31.5,5,3003.21,2,50.5,68.5,23.8,0,5255.61,high,dormant
A000306,R04,87.2,2,3151.41,2,78.6,41.2,9.2,0,4096.83,low,large_withdrawal
A000307,R08,10.7,2,8957.51,3,70.5,62.2,27.0,0,11644.76,high,large_withdrawal
A000308,R00,21.8,3,8382.35,3,48.3,77.0,30.1,1,12154.41,high,none
A000309,R00,14.5,4,382.73,0,40.9,95.2,54.4,0,612.36,low,none
A000310,R00,27.1,1,654.68,0,44.7,61.6,66.0,0,752.88,low,none
A000311,R04,84.6,6,12948.65,4,47.2,51.8,26.0,0,24602.43,high,none
A000312,R02,32.1,4,1003.62,0,45.6,58.2,46.5,0,1605.79,low,none
A000313,R03,37.2,2,11313.68,4,80.0,34.3,53.2,0,14707.79,high,dd_stop
A000314,R00,63.2,3,218.74,0,63.2,50.2,66.6,1,317.18,low,none
A000315,R04,72.4,5,26230.93,4,56.5,21.9,56.1,0,45904.13,high,none
A000316,R07,38.0,1,3911.24,2,44.5,21.5,59.4,1,4497.92,low,none
A000317,R01,21.7,5,13089.37,4,30.4,75.4,39.1,0,22906.39,high,none
A000318,R02,141.3,1,4459.6,2,49.9,26.8,25.6,0,5128.54,high,none
A000319,R06,38.2,5,19774.17,4,47.9,28.1,55.7,1,34604.8,high,none
