account_id,region_id,value_score,value_group,churn_mode,proba_none,proba_large_withdrawal,proba_dd_stop,proba_dormant,predicted_mode
A001832,R00,3563.39,low,none,0.9684677,0.0030330752,0.0061724917,0.022326697,none
A032290,R07,6877.06,high,none,0.9322997,0.013309497,0.017430637,0.036960132,none
A019464,R09,36168.66,high,none,0.9193962,0.030023288,0.023672638,0.026907844,none
A026992,R04,5468.75,high,none,0.93436486,0.02579656,0.016886147,0.02295241,none
A012814,R07,3356.74,low,none,0.93624675,0.0043991115,0.026417378,0.03293674,none
A019904,R05,1723.23,low,dormant,0.7569053,0.013405268,0.015713325,0.21397609,none
A026151,R06,1916.55,low,none,0.86877173,0.041359574,0.054606803,0.035261896,none
A000450,R07,2657.57,low,none,0.8401354,0.067666754,0.06467866,0.027519234,none
A034065,R05,3710.6,low,none,0.91279024,0.054742493,0.0046537914,0.02781349,none
A024747,R03,7663.6,high,dd_stop,0.85353106,0.0010324904,0.05649371,0.088942744,none
A007568,R02,697.42,low,dormant,0.89634687,0.0031188088,0.018022215,0.08251217,none
A027216,R00,7348.73,high,none,0.9285205,0.042657737,0.005880825,0.02294093,none
A033496,R05,36504.66,high,none,0.9687062,0.011600165,0.004185341,0.015508265,none
A005748,R01,2031.53,low,none,0.9656051,0.012315309,0.004248441,0.017831227,none
A033284,R05,3930.1,low,none,0.9253527,0.017353158,0.027615897,0.029678246,none
A011612,R02,12833.63,high,none,0.9626438,0.0007039807,0.013339587,0.02331262,none
A028522,R06,3996.04,low,none,0.9452744,0.031895958,0.0057786275,0.01705096,none
A029490,R08,1507.84,low,none,0.9469531,0.0098459935,0.017612914,0.025588011,none
A039077,R09,2957.98,low,dormant,0.90510714,0.018072508,0.038200006,0.03862038,none
A038165,R05,6302.31,high,none,0.9243948,0.04703697,0.0105738165,0.01799444,none
A013169,R02,2517.91,low,dd_stop,0.8133659,0.000792167,0.06280607,0.12303596,none
A023965,R06,4383.15,low,none,0.9443884,0.0013095887,0.021669261,0.032632798,none
A002557,R05,16124.36,high,large_withdrawal,0.9100344,0.02649191,0.033535317,0.029938351,none
A001867,R01,11335.17,high,none,0.9372122,0.02211632,0.01932903,0.021342443,none
A008364,R01,3009.37,low,none,0.8568952,0.08549926,0.03717727,0.020428311,none
A010943,R04,4595.08,low,none,0.9240213,0.014538759,0.039892886,0.021547038,none
A010680,R00,4483.89,low,none,0.8564868,0.07655374,0.03830178,0.028657705,none
A003687,R09,2574.51,low,none,0.9160428,0.020889308,0.023409752,0.03965813,none
A001090,R03,3220.46,low,none,0.9577693,0.014845662,0.007282948,0.020102104,none
A038146,R06,632.79,low,none,0.92149365,0.027750842,0.031104153,0.019651406,none
A027853,R07,2973.37,low,none,0.9596351,0.0122485105,0.008042097,0.020074239,none
A038219,R08,5014.86,high,dormant,0.6897744,0.011552163,0.028266698,0.27040672,none
A029451,R08,10714.31,high,none,0.8853547,0.04882502,0.04288874,0.022931611,none
A005637,R04,2700.19,low,none,0.92120004,0.04490276,0.014974643,0.01892256,none
A034772,R03,7754.34,high,none,0.9454826,0.017516484,0.016259031,0.020741941,none
A026694,R07,2004.11,low,none,0.9510601,0.00938059,0.015276984,0.02428233,none
A017048,R00,15679.93,high,none,0.88408333,0.03673859,0.005410182,0.07376792,none
A008052,R03,4007.44,low,none,0.82639396,0.015883438,0.051520694,0.10620187,none
A005383,R06,9079.03,high,dormant,0.37780112,0.00075523864,0.008827462,0.6126162,dormant
A009746,R08,750.85,low,none,0.9392128,0.020223139,0.017056609,0.023507452,none
A035288,R05,9406.34,high,none,0.86439973,0.08976933,0.02379306,0.022037882,none
A031112,R03,2022.57,low,dormant,0.9214994,0.0068949875,0.040277448,0.031328145,none
A014245,R00,3088.47,low,none,0.85519195,0.08568367,0.02973415,0.02939018,none
A036588,R03,3992.22,low,none,0.95352393,0.020456338,0.00512674,0.020892974,none
A007958,R09,7472.6,high,none,0.8765577,0.043913513,0.011660637,0.0678682,none
A024197,R02,3049.11,low,none,0.79039913,0.0394553,0.13697012,0.033175495,none
A009950,R05,2202.91,low,none,0.9261279,0.021954376,0.026798405,0.025119282,none
A037172,R08,419.79,low,dormant,0.92134714,0.012566436,0.041266628,0.024819735,none
A039401,R04,50842.99,high,none,0.9387611,0.018717999,0.005945617,0.03657521,none
A035246,R05,1708.89,low,large_withdrawal,0.8957546,0.01443186,0.03343851,0.056375075,none
A023743,R03,1546.97,low,dd_stop,0.8914038,0.008587516,0.06518747,0.034821235,none
A015246,R00,2385.13,low,none,0.6736573,0.063436516,0.0279738,0.23493235,none
A010894,R08,2950.95,low,none,0.754604,0.06451451,0.07132312,0.10955836,none
A025442,R04,5680.16,high,dormant,0.7036314,0.012479416,0.025639981,0.25824916,none
A004451,R01,108.94,low,none,0.86961555,0.021509554,0.023395522,0.08547936,none
A036521,R04,2720.5,low,none,0.9260852,0.025401922,0.014626032,0.033886887,none
A006970,R01,5532.69,high,none,0.8783665,0.08075264,0.013383721,0.027497213,none
A000055,R09,4222.6,low,none,0.92149514,0.028152674,0.009416866,0.04093537,none
A030350,R07,774.97,low,dd_stop,0.9533631,0.0054573556,0.017839368,0.023340136,none
A020296,R02,37720.41,high,none,0.8888899,0.03217653,0.030912817,0.048020728,none
A022346,R06,541.97,low,none,0.9601225,0.008635426,0.004276161,0.026965834,none
A004231,R03,7688.34,high,none,0.80831033,0.0074170902,0.09597306,0.08829957,none
A017227,R01,4710.52,low,none,0.9265997,0.033508096,0.015281563,0.02461069,none
A003863,R06,7742.75,high,none,0.86268586,0.054849282,0.057218008,0.0252469,none
A004561,R06,3076.41,low,none,0.7133553,0.0033537098,0.01542152,0.26786947,none
A010626,R03,18534.22,high,none,0.72716516,0.022696769,0.15387589,0.09626219,none
A013538,R01,2566.42,low,none,0.8849526,0.019068392,0.06019561,0.03578346,none
A027710,R01,2929.83,low,none,0.8920337,0.00824971,0.014271502,0.08544515,none
A025843,R03,2545.08,low,none,0.8026888,0.08506086,0.0069976007,0.1052528,none
A016497,R05,8906.64,high,large_withdrawal,0.874248,0.05697459,0.035045076,0.03373237,none
A021196,R09,2602.37,low,none,0.92947495,0.025212312,0.01736409,0.027948609,none
A036571,R01,34950.7,high,large_withdrawal,0.8943052,0.018475035,0.044990882,0.042228833,none
A023201,R04,25687.66,high,none,0.9343024,0.022787735,0.009486753,0.033423137,none
A011741,R07,3814.22,low,none,0.7974856,0.11663724,0.06986771,0.016009457,none
A020175,R01,33796.4,high,none,0.9230458,0.046069756,0.0111532295,0.01973125,none
A015167,R05,6367.51,high,none,0.91950536,0.024877293,0.035088964,0.020528411,none
A018939,R02,3405.13,low,none,0.91615087,0.031622853,0.02829768,0.02392862,none
A008492,R00,2534.55,low,none,0.9051506,0.04871487,0.021581698,0.02455288,none
A010034,R06,1267.3,low,none,0.9501713,0.020474618,0.011427452,0.017926706,none
A029136,R03,3454.22,low,dormant,0.5524593,0.03510449,0.048572734,0.36386347,none
A016214,R09,20956.42,high,none,0.93830633,0.037423775,0.0057123112,0.018557604,none
A030803,R08,68571.13,high,none,0.9593804,0.012264303,0.005637002,0.022718322,none
A011622,R07,23614.29,high,none,0.92435074,0.005831458,0.04294926,0.02686852,none
A025824,R03,6267.68,high,none,0.8703172,0.024747908,0.010154191,0.094780736,none
A020524,R04,2413.3,low,none,0.9129832,0.028790342,0.019211505,0.039014965,none
A001668,R05,2279.15,low,none,0.93599355,0.016513849,0.025738154,0.02175449,none
A038082,R08,2739.83,low,none,0.9407824,0.014209177,0.016332272,0.028676165,none
A032004,R07,2368.91,low,none,0.9066168,0.021033525,0.03994511,0.03240456,none
A001949,R03,4181.27,low,none,0.7206563,0.053685445,0.103403226,0.12225503,none
A011056,R00,40425.18,high,none,0.8877357,0.005131249,0.02384372,0.08328928,none
A002723,R07,15333.44,high,none,0.95421714,0.01511307,0.0055595674,0.025110243,none
A025692,R00,9488.38,high,dormant,0.65658784,0.01721816,0.019201515,0.30699253,none
A017316,R07,8491.39,high,none,0.96728146,0.0044742315,0.008696886,0.019547403,none
A029094,R02,35183.45,high,none,0.8595007,0.02002704,0.04054765,0.07992461,none
A015352,R06,1243.97,low,dormant,0.478128,0.0121886,0.034930203,0.4747533,none
A029321,R04,24883.03,high,none,0.9619163,0.0012570904,0.005065792,0.031760786,none
A028460,R06,7740.03,high,none,0.9226088,0.028424298,0.030817453,0.01814952,none
A006576,R07,2955.42,low,none,0.85424,0.022779081,0.04240187,0.08057905,none
A029350,R01,20072.18,high,dormant,0.82413024,0.049535386,0.09073106,0.035603307,none
A026831,R01,11015.78,high,none,0.9699187,0.005784418,0.0045871083,0.019709699,none
A005608,R02,1382.07,low,none,0.9336078,0.014375288,0.029537957,0.02247895,none
A021883,R07,3371.84,low,none,0.947877,0.018091463,0.012801728,0.021229805,none
A021867,R01,10670.73,high,none,0.87341195,0.08282719,0.024175776,0.019585116,none
A012534,R09,16775.16,high,none,0.69066143,0.017652785,0.0073248595,0.28436098,none
A015806,R09,1051.61,low,none,0.9406873,0.008038612,0.023992442,0.027281644,none
A022225,R05,45238.97,high,none,0.8055729,0.1312519,0.044206947,0.018968184,none
A027789,R01,2029.27,low,none,0.96208626,0.01008238,0.004367086,0.023464253,none
A008923,R00,2641.89,low,dormant,0.89333713,0.03671163,0.003779793,0.066171475,none
A001290,R01,2278.81,low,none,0.8753185,0.049533367,0.0037399472,0.07140819,none
A037509,R00,15941.67,high,none,0.8964192,0.044633992,0.026581904,0.03236487,none
A019361,R08,6421.49,high,none,0.8538782,0.036593974,0.0870297,0.022498136,none
A029166,R07,1304.92,low,none,0.7800225,0.011373428,0.0065174093,0.20208666,none
A036932,R01,366.58,low,none,0.9568956,0.008817471,0.018322617,0.015964342,none
A001702,R08,3461.36,low,none,0.72310144,0.010185361,0.0056783273,0.2610349,none
A026589,R05,4266.85,low,none,0.84921896,0.07576975,0.04208372,0.032927517,none
A022605,R05,2675.29,low,none,0.9251706,0.02570666,0.023227729,0.025894959,none
A013557,R06,1272.9,low,none,0.90901375,0.01559049,0.03674182,0.03865396,none
A005325,R02,60773.54,high,none,0.94517463,0.020507768,0.0057034,0.028614229,none
A037832,R01,1251.33,low,dd_stop,0.8103484,0.013499502,0.0760561,0.10009607,none
A036195,R03,2712.27,low,dormant,0.6452508,0.031206865,0.013497249,0.3100451,none
A003596,R06,1740.94,low,none,0.87776077,0.025713215,0.06693782,0.029588131,none
A011827,R09,4916.82,low,dd_stop,0.78560144,0.06423769,0.067847,0.08231385,none
A038197,R03,12147.69,high,dd_stop,0.883946,0.033716425,0.05475273,0.027584838,none
A029954,R08,1366.48,low,none,0.9224214,0.034514535,0.021894556,0.021169549,none
A039090,R09,8198.31,high,none,0.8542996,0.011635715,0.023511551,0.11055311,none
A008133,R02,11654.11,high,none,0.9454339,0.016886938,0.013172735,0.02450648,none
A007844,R00,2533.9,low,none,0.89969367,0.050357793,0.021363486,0.028585067,none
A004706,R01,7217.1,high,none,0.7593745,0.006665813,0.016308986,0.21765071,none
A008951,R02,15481.09,high,none,0.9488115,0.0191291,0.0047733695,0.027286101,none
A007754,R08,4620.44,low,none,0.9246822,0.04849329,0.01049723,0.01632726,none
A005056,R03,1887.59,low,none,0.87853354,0.04363343,0.037150294,0.040682767,none
A032247,R02,4109.4,low,dormant,0.72237945,0.06267927,0.092125796,0.12281548,none
A011595,R07,3631.06,low,none,0.8863387,0.049904667,0.034170788,0.029585835,none
A023048,R07,19811.84,high,none,0.96282613,0.0079197,0.004925252,0.024328958,none
A011868,R09,1007.75,low,none,0.83726525,0.036480665,0.09957127,0.0266828,none
A015676,R04,6883.33,high,none,0.94695795,0.0006631587,0.02140434,0.030974511,none
A037419,R04,1309.12,low,none,0.91874903,0.04122557,0.006344173,0.033681154,none
A011994,R06,8491.74,high,none,0.91639465,0.048542064,0.015036067,0.020027174,none
A008020,R07,82.62,low,dormant,0.90173626,0.0059703123,0.025436398,0.06685708,none
A014252,R07,4229.83,low,none,0.92549103,0.039237585,0.00812462,0.02714683,none
A034167,R00,1074.8,low,none,0.90309644,0.016963929,0.006454471,0.07348514,none
A000455,R06,10057.02,high,none,0.95280296,0.020820558,0.01643557,0.00994086,none
A002506,R01,16538.75,high,none,0.9293455,0.014332515,0.023019657,0.03330234,none
A022275,R04,5599.02,high,none,0.7321989,0.010940238,0.03525446,0.22160642,none
A029128,R00,7817.84,high,dormant,0.85133445,0.016398206,0.030334761,0.10193258,none
A004053,R07,6152.64,high,none,0.94237846,0.013096729,0.022328857,0.02219602,none
A036479,R06,523.57,low,none,0.9588005,0.0011158981,0.009023957,0.031059682,none
A012092,R09,18357.46,high,large_withdrawal,0.88351774,0.036875222,0.0071899937,0.07241705,none
A017498,R00,1312.67,low,none,0.8432862,0.07950882,0.05231341,0.024891572,none
A009627,R01,7505.71,high,dd_stop,0.5998475,0.011696788,0.07187405,0.31658167,none
A011417,R08,1294.02,low,none,0.95159113,0.0030839476,0.017064122,0.028260801,none
A028308,R02,2837.41,low,dormant,0.68022376,0.023812464,0.0092741065,0.28668964,none
A018033,R06,6941.94,high,none,0.8547624,0.019919435,0.10105878,0.02425937,none
A009241,R09,8678.85,high,none,0.94782823,0.01175411,0.009166223,0.031251363,none
A039520,R08,27931.3,high,none,0.8741831,0.025107274,0.069956996,0.030752586,none
A002053,R02,44039.93,high,none,0.8442957,0.006744536,0.012353485,0.13660623,none
A026129,R04,14510.53,high,none,0.8542034,0.007020229,0.0236331,0.115143225,none
A021602,R00,2704.13,low,none,0.90972,0.018881986,0.034679957,0.036718063,none
A009265,R06,27287.74,high,dd_stop,0.8388952,0.018077416,0.056155354,0.08687201,none
A025026,R06,27517.03,high,none,0.9497813,0.015088402,0.011972533,0.023157794,none
A029018,R07,1414.25,low,none,0.95710415,0.0006507041,0.019518007,0.022727178,none
A002835,R00,6934.94,high,none,0.90224546,0.049085572,0.030426182,0.018242791,none
A009063,R05,5418.67,high,none,0.8973482,0.051033366,0.028632216,0.022986181,none
A016516,R03,3172.9,low,dd_stop,0.8309067,0.014306599,0.063499816,0.09128693,none
A013201,R09,1097.22,low,none,0.8161931,0.093797304,0.0750976,0.014912055,none
A020703,R06,15325.8,high,none,0.91215205,0.038447868,0.016653564,0.032746505,none
A009702,R03,3022.24,low,none,0.8867319,0.054952264,0.031761132,0.02655467,none
A018069,R01,14544.52,high,none,0.9410674,0.03655681,0.0028284327,0.01954732,none
A002659,R05,3518.86,low,none,0.9327955,0.012609011,0.025526132,0.029069325,none
A025536,R08,1835.87,low,dormant,0.91334766,0.012639351,0.0046077883,0.06940518,none
A012263,R08,2564.69,low,none,0.8476012,0.015018079,0.033603378,0.10377737,none
A007505,R04,22647.69,high,none,0.93057024,0.012820871,0.021454409,0.035154495,none
A007170,R08,2898.14,low,none,0.95307046,0.022271749,0.006434704,0.01822305,none
A023320,R08,2598.94,low,none,0.5638036,0.060239643,0.05601167,0.31994507,none
A005837,R07,1410.39,low,none,0.79854554,0.099389784,0.07557777,0.026486974,none
A015747,R06,2669.8,low,none,0.93106663,0.030390996,0.014783384,0.023758993,none
A011564,R02,12327.92,high,none,0.73623586,0.018066693,0.021481877,0.22421558,none
A012142,R03,8659.76,high,none,0.9564294,0.011398658,0.0150072845,0.017164677,none
A011103,R00,18733.34,high,none,0.86888963,0.021348605,0.004409298,0.10535249,none
A025848,R00,1559.05,low,dormant,0.94839007,0.010389786,0.01454637,0.026673809,none
A006467,R01,1311.25,low,none,0.8998559,0.044059735,0.03181971,0.024264617,none
A020757,R09,5189.88,high,none,0.8220585,0.046409067,0.010702906,0.12082948,none
A021899,R04,3271.82,low,none,0.92321587,0.026367558,0.025958873,0.024457756,none
A038745,R09,1736.6,low,none,0.94605297,0.029300787,0.012101903,0.012544417,none
A038863,R07,9722.37,high,none,0.8954734,0.05100242,0.034384195,0.01913998,none
A039850,R06,7579.69,high,none,0.837142,0.038821384,0.03623477,0.0878019,none
A031583,R02,3437.93,low,none,0.914348,0.050636362,0.0135998195,0.021415813,none
A030306,R05,2179.42,low,none,0.9009318,0.02273698,0.03789632,0.038434986,none
A036331,R08,2873.08,low,none,0.9469997,0.009116009,0.02732811,0.016556095,none
A025674,R07,2224.64,low,none,0.9422343,0.016740857,0.018559735,0.022465143,none
A037645,R05,3919.4,low,none,0.88165337,0.01207227,0.028596804,0.07767761,none
A018081,R03,4939.7,low,none,0.82308143,0.06925469,0.077245116,0.030418755,none
A010139,R00,2727.73,low,none,0.8034204,0.021541681,0.053113326,0.121924564,none
A030295,R06,5149.48,high,none,0.94353944,0.029385783,0.005120308,0.02195446,none
A014075,R04,9062.67,high,dormant,0.86813706,0.049968332,0.05223505,0.02965952,none
A002278,R05,4053.97,low,none,0.82958496,0.08253135,0.0696744,0.01820924,none
A014069,R03,24087.67,high,none,0.9253219,0.0011515568,0.031570468,0.04195609,none
A010457,R03,479.08,low,none,0.9499962,0.02421117,0.0044219303,0.021370696,none
A000824,R04,3115.71,low,none,0.8713312,0.023572437,0.06691447,0.038181894,none
A030972,R06,1249.74,low,none,0.87959564,0.0046037063,0.01073088,0.10506976,none
A015677,R04,4681.2,low,none,0.90346664,0.02849396,0.026640575,0.041398857,none
A000785,R04,1900.44,low,none,0.6159607,0.01856781,0.037277818,0.32819363,none
A007848,R09,3888.02,low,none,0.90109164,0.0019209147,0.062830664,0.034156837,none
A029276,R07,17762.63,high,none,0.8761688,0.08118393,0.015084866,0.027562466,none
A020486,R05,4352.49,low,none,0.8057631,0.08149093,0.03472421,0.07802171,none
A024307,R09,12331.26,high,none,0.8815408,0.055776183,0.039114516,0.02356853,none
A016076,R03,1700.1,low,none,0.9481156,0.019433752,0.014324365,0.018126294,none
A012945,R06,1606.56,low,none,0.9180061,0.038044054,0.019015634,0.024934141,none
A013431,R04,1683.97,low,none,0.9180559,0.016282653,0.03573045,0.029930968,none
A017309,R04,6113.87,high,none,0.91615224,0.02785886,0.019355502,0.03663342,none
A011843,R04,2534.88,low,large_withdrawal,0.9470514,0.00940786,0.017110886,0.026429912,none
A034197,R00,2170.93,low,dormant,0.686582,0.015641078,0.018682769,0.27909407,none
A013109,R02,8726.26,high,none,0.93919384,0.01301849,0.022861445,0.024926258,none
A010154,R01,76868.48,high,none,0.9619828,0.00343319,0.005756117,0.028827978,none
A020218,R03,3294.76,low,none,0.95884323,0.010725674,0.0055880845,0.024843037,none
A002458,R03,2074.11,low,none,0.83557916,0.032067314,0.040495414,0.09185817,none
A030664,R02,1831.41,low,none,0.8657662,0.03296735,0.06373681,0.03752963,none
A020060,R07,4874.3,low,none,0.8044529,0.1341514,0.03209506,0.02930059,none
A019288,R03,2951.61,low,none,0.881784,0.03630191,0.047090065,0.034823984,none
A023203,R04,3732.68,low,none,0.8312288,0.016268509,0.04608693,0.10641582,none
A025124,R08,28746.22,high,none,0.8657001,0.00058538077,0.05347103,0.0802435,none
A037048,R04,2998.37,low,dd_stop,0.88321686,0.027960623,0.06385434,0.024968162,none
A031294,R01,2717.13,low,none,0.8711165,0.023737803,0.017238354,0.08790731,none
A038377,R09,7434.24,high,none,0.92291105,0.019128323,0.034880176,0.023080468,none
A000336,R06,4739.27,low,none,0.91215837,0.019216716,0.0044458946,0.06417899,none
A011943,R00,6536.58,high,none,0.9100966,0.011163578,0.047148313,0.031591535,none
A034893,R00,19415.99,high,none,0.8587199,0.01173079,0.004364725,0.12518463,none
A029793,R07,1479.63,low,none,0.871093,0.02642867,0.030212108,0.07226628,none
A004378,R09,13264.9,high,none,0.9304656,0.004656551,0.028922686,0.035955206,none
A003028,R04,7746.03,high,none,0.9247462,0.023006672,0.028928105,0.02331904,none
A003910,R07,1736.95,low,none,0.900548,0.033932142,0.044568103,0.020951768,none
A037320,R08,2752.97,low,none,0.8669621,0.012119185,0.008524643,0.11239407,none
A022419,R02,2134.17,low,none,0.7222594,0.015490988,0.004864666,0.25738496,none
A017272,R09,6116.55,high,none,0.96701336,0.011957847,0.005372729,0.015656013,none
A009317,R03,4392.02,low,none,0.9576239,0.0056188903,0.0062075094,0.030549688,none
A036609,R01,6742.25,high,none,0.7845739,0.07764418,0.034941297,0.10284059,none
A027436,R01,37681.96,high,none,0.9591058,0.012520895,0.008903807,0.019469505,none
A033068,R09,2342.03,low,none,0.91506016,0.022931121,0.037608925,0.024399776,none
A036057,R09,4858.57,low,dormant,0.8548122,0.013899711,0.03299645,0.098291606,none
A006662,R03,32850.41,high,none,0.94936424,0.02570807,0.0061955927,0.018732138,none
A032462,R05,24075.68,high,large_withdrawal,0.759335,0.07344517,0.11357963,0.053640217,none
A033581,R05,2480.66,low,none,0.833272,0.007283667,0.05640693,0.10303742,none
A038835,R03,41158.44,high,none,0.8833283,0.022625845,0.07243091,0.021614946,none
A015967,R08,32170.47,high,none,0.8311928,0.023561984,0.05314385,0.09210137,none
A022165,R00,8981.46,high,none,0.9665109,0.011682693,0.0062815035,0.015524913,none
A010511,R05,1254.65,low,none,0.60054916,0.047008872,0.055059977,0.297382,none
A023948,R00,1923.53,low,none,0.89185786,0.009879063,0.005171285,0.09309185,none
